,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Country","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","11.8","11.0","10.1","9.5","8.8","7.9","8.6","8.6","9.8","10.3","9.9","10.6","9.9","9.8","8.9","9.4","",""
"Algeria","6.4","6.6","7.0","6.5","6.0","6.0","5.3","5.1","5.4","4.2","3.8","3.4","3.2","3.5","3.6","3.7","3.8","3.5"
"Andorra","10.3","10.3","10.3","10.3","10.1","10.0","9.8","9.4","9.0","8.8","8.4","8.4","8.6","8.2","8.5","9.1","9.4","9.3"
"Angola","2.8","2.7","2.6","2.4","2.7","2.4","2.6","2.7","3.8","3.3","3.0","2.7","2.9","4.0","3.5","3.3","4.5","1.9"
"Antigua and Barbuda","4.5","4.4","4.7","5.3","5.4","5.2","5.3","5.2","4.4","4.4","4.7","4.7","5.0","5.3","5.8","5.4","5.3","4.5"
"Argentina","9.1","7.5","8.8","8.3","8.4","8.5","8.4","8.6","9.0","7.7","7.6","7.6","7.6","7.2","7.1","7.6","8.6","8.5"
"Armenia","10.4","10.0","10.1","10.2","10.3","9.1","9.4","9.2","8.4","6.6","5.5","5.9","5.9","6.1","7.2","7.6","4.6","4.2"
"Australia","9.2","9.2","9.3","9.0","8.8","8.7","8.5","8.4","8.6","8.3","8.1","8.0","8.0","8.1","7.9","7.9","7.7","7.6"
"Austria","10.4","10.4","10.4","10.4","10.3","10.2","10.0","10.2","10.2","9.7","9.5","9.5","9.6","9.7","9.5","9.4","9.3","9.2"
"Azerbaijan","6.7","6.7","6.7","5.5","5.1","4.9","4.5","4.8","5.2","4.1","4.7","5.8","7.4","7.2","5.9","3.7","3.7","3.9"
"Bahamas","5.8","6.1","5.7","5.9","6.0","6.0","6.0","5.9","5.9","5.8","5.5","5.4","4.7","4.7","4.4","4.2","4.0","4.0"
"Bahrain","4.7","4.9","5.0","4.4","4.3","4.1","3.6","3.8","4.1","3.3","3.3","3.1","3.2","3.5","4.0","3.9","3.7","3.6"
"Bangladesh","2.3","2.3","2.5","2.5","2.5","2.6","2.6","2.5","2.4","2.3","2.4","2.3","2.3","2.2","2.2","2.2","2.0","2.0"
"Barbados","6.8","6.9","7.0","7.1","7.6","7.8","6.9","6.8","7.1","6.5","6.1","6.6","6.8","7.3","6.7","5.9","5.5","5.3"
"Belarus","5.9","5.9","6.1","5.4","5.7","5.2","4.9","5.7","5.4","5.5","5.9","5.8","6.3","5.9","6.0","5.8","5.9","5.5"
"Belgium","10.3","10.3","10.3","10.4","10.4","10.3","10.1","10.0","10.1","9.3","8.9","8.9","9.0","9.1","9.1","8.3","8.1","7.9"
"Belize","5.6","6.1","5.9","5.7","5.7","5.4","5.6","5.8","5.8","5.1","5.0","4.6","4.7","4.6","4.8","4.5","4.7","4.1"
"Benin","3.7","3.9","4.0","3.6","3.9","4.7","4.2","4.1","3.9","3.7","4.0","4.1","4.0","4.2","4.1","4.2","4.4","4.2"
"Bhutan","3.2","3.5","3.7","3.5","3.6","3.5","3.3","3.5","3.5","3.3","4.0","4.3","4.0","4.5","4.0","4.5","4.9","4.3"
"Bolivia (Plurinational State of)","6.4","6.9","6.6","6.0","5.7","5.4","5.5","5.5","5.4","4.8","4.9","4.8","5.1","4.9","5.2","4.9","4.8","4.4"
"Bosnia and Herzegovina","8.9","9.2","9.3","9.5","9.5","9.5","9.2","9.0","9.0","9.7","9.5","9.2","9.1","9.1","8.0","7.1","7.3","7.7"
"Botswana","6.1","5.6","5.7","5.6","6.2","6.1","5.8","6.2","6.5","5.8","5.3","4.8","5.0","5.8","6.2","6.4","6.2","5.8"
"Brazil","9.5","9.2","8.9","8.4","8.0","7.7","7.8","7.9","8.4","8.0","8.2","8.3","8.0","8.1","8.2","8.7","8.5","8.3"
"Brunei Darussalam","2.4","2.5","2.4","1.9","1.9","1.9","1.9","2.3","2.4","1.9","1.9","1.9","2.2","2.5","2.6","2.5","2.5","2.5"
"Bulgaria","8.1","8.2","8.2","8.5","7.9","7.6","7.1","7.1","6.6","6.3","6.2","6.6","6.9","6.9","7.3","7.1","6.9","5.9"
"Burkina Faso","6.9","7.0","5.8","5.6","6.3","5.2","5.2","5.9","5.7","5.2","5.9","5.1","4.4","4.7","3.5","3.3","3.2","3.3"
"Burundi","7.5","7.5","6.6","6.9","8.1","8.5","10.1","11.3","10.4","9.2","10.6","9.9","8.4","7.7","6.3","6.5","6.4","6.2"
"Cabo Verde","5.2","4.8","4.8","5.3","5.3","5.1","4.3","4.5","3.9","3.6","4.2","4.5","4.3","4.4","4.5","4.8","4.8","4.4"
"Cambodia","5.9","6.1","6.2","6.7","7.1","7.3","7.5","6.9","7.6","6.6","4.9","6.1","6.9","7.1","6.9","7.2","7.0","6.5"
"Cameroon","4.7","4.7","4.7","4.5","4.5","4.5","3.4","4.5","4.3","4.4","4.2","4.1","4.1","4.1","4.4","4.4","4.2","4.0"
"Canada","10.6","10.7","10.5","10.1","10.2","10.3","10.4","10.7","10.7","9.6","9.4","9.3","9.1","9.1","9.0","8.9","8.7","8.3"
"Central African Republic","5.8","4.3","6.3","4.9","4.8","3.9","3.8","3.7","4.3","4.0","4.8","4.5","4.8","4.2","4.6","4.3","3.9","4.4"
"Chad","4.5","5.0","4.5","4.3","4.1","3.9","3.9","4.1","4.4","4.1","4.3","4.9","4.8","5.5","5.5","7.3","5.3","5.5"
"Chile","9.0","8.5","8.3","7.8","7.4","7.0","6.8","6.8","7.2","6.7","6.2","6.0","6.6","6.9","7.3","7.3","7.2","7.0"
"China","5.2","5.0","4.9","4.8","4.7","4.5","4.3","4.2","4.3","3.9","3.7","3.9","4.1","4.3","4.4","4.3","4.2","4.5"
"Colombia","7.2","7.2","7.3","7.1","7.3","6.8","6.8","7.1","7.3","6.9","6.5","6.4","6.1","5.8","5.8","5.8","6.0","5.7"
"Comoros","7.4","7.5","7.8","7.6","7.8","7.9","9.1","8.5","8.6","9.0","9.3","9.7","9.9","10.3","10.3","11.0","10.9","12.2"
"Congo","2.9","3.5","3.4","2.5","2.5","2.5","1.9","2.0","2.2","2.6","2.2","1.8","1.9","2.1","2.1","1.9","2.4","1.7"
"Cook Islands","3.3","3.5","2.9","3.3","3.3","3.1","3.4","3.5","3.5","3.3","3.7","3.7","4.2","3.6","3.4","3.7","3.5","3.2"
"Costa Rica","7.3","7.5","7.8","7.9","7.9","7.9","8.2","8.1","7.9","7.5","7.0","7.0","6.7","6.7","7.0","6.9","6.5","6.6"
"C̫te d'Ivoire","4.5","4.5","4.4","5.2","5.1","6.1","6.1","6.1","6.2","6.3","6.3","5.8","5.3","5.2","4.5","4.4","4.8","5.6"
"Croatia","6.8","6.8","6.8","6.7","6.5","7.8","7.8","8.1","8.2","7.7","7.5","7.0","6.9","6.6","6.4","6.2","7.2","7.7"
"Cuba","11.7","12.2","12.8","12.1","10.4","9.3","11.3","10.7","12.3","11.3","11.0","8.3","8.8","6.8","7.1","7.1","7.0","6.6"
"Cyprus","6.7","6.8","6.8","6.8","6.9","6.7","6.6","6.3","6.5","6.0","5.4","5.5","5.4","5.4","5.6","5.6","5.3","5.3"
"Czechia","7.2","7.1","7.2","7.7","7.8","7.0","7.0","6.9","7.3","6.4","6.0","6.2","6.4","6.4","6.6","6.2","5.9","5.7"
"Democratic Republic of the Congo","4.0","3.9","3.9","4.0","3.6","3.6","3.4","4.0","4.6","5.1","4.4","4.5","4.3","4.4","3.8","2.7","2.7","1.6"
"Denmark","10.1","10.2","10.2","10.2","10.2","10.2","10.2","10.3","10.7","9.5","9.3","9.2","9.1","9.0","8.9","8.7","8.4","8.1"
"Djibouti","3.3","3.7","4.4","4.1","4.1","4.6","4.7","4.3","4.5","4.5","4.8","4.9","4.5","4.7","5.6","5.0","3.9","4.1"
"Dominica","5.9","5.2","5.4","5.5","5.3","5.8","5.3","5.6","5.6","5.5","5.4","5.2","5.2","5.1","5.3","5.4","5.3","5.2"
"Dominican Republic","6.1","6.1","6.0","5.8","5.8","5.9","5.7","5.6","5.1","4.7","4.2","4.0","4.4","4.3","4.4","5.0","4.9","4.9"
"Ecuador","8.3","8.3","8.6","8.6","8.6","8.5","7.9","7.1","6.4","5.8","5.9","5.7","5.6","5.6","5.4","4.5","3.7","3.3"
"Egypt","5.3","5.4","5.3","4.7","4.7","4.6","4.4","4.2","4.4","4.5","4.4","4.8","4.9","4.9","5.2","5.5","5.4","4.9"
"El Salvador","7.2","7.7","7.6","7.7","7.7","7.5","8.1","8.2","8.4","7.7","7.6","7.9","8.4","8.5","8.4","8.8","8.8","8.9"
"Equatorial Guinea","3.1","3.2","2.9","2.2","1.9","1.3","1.6","1.8","1.8","1.8","1.6","1.5","1.5","1.7","2.0","2.4","2.3","2.3"
"Eritrea","2.9","2.9","2.9","2.8","2.8","2.9","4.1","3.5","4.4","3.9","4.1","5.3","5.3","5.4","5.7","5.2","4.6","4.5"
"Estonia","6.4","6.5","6.4","6.1","6.0","5.8","5.8","6.3","6.5","5.8","5.0","4.8","5.1","5.2","4.9","4.7","4.8","5.2"
"Eswatini","6.9","6.8","7.1","7.3","7.5","7.9","8.5","8.6","8.6","8.9","7.9","7.8","7.4","6.8","6.4","5.5","5.1","4.6"
"Ethiopia","3.5","3.9","3.9","4.0","4.1","4.5","4.5","5.5","4.6","4.3","5.0","4.5","4.1","4.3","4.9","4.7","4.7","4.4"
"Fiji","3.5","3.5","3.6","3.6","3.5","3.5","3.4","3.7","3.8","3.4","3.7","3.7","3.6","3.6","3.2","3.2","3.2","3.7"
"Finland","9.2","9.4","9.7","9.5","8.7","9.3","9.0","8.9","8.9","8.1","7.8","8.0","8.0","7.8","7.7","7.4","7.0","6.8"
"France","11.3","11.5","11.5","11.6","11.4","11.3","11.2","11.2","11.3","10.5","10.3","10.4","10.2","10.2","10.1","10.0","9.7","9.6"
"Gabon","2.8","3.1","2.7","2.5","2.8","2.4","2.6","2.5","3.8","2.8","3.2","3.1","2.9","3.3","3.5","3.3","3.2","2.9"
"Gambia","3.3","3.0","3.1","3.5","4.1","3.9","4.0","3.4","3.5","3.5","3.6","3.3","2.8","2.5","2.3","2.4","2.4","2.7"
"Georgia","7.6","8.4","7.9","8.4","8.4","8.4","8.4","9.5","9.8","8.7","7.6","7.8","8.3","8.3","8.3","8.0","7.4","7.4"
"Germany","11.2","11.1","11.1","11.0","10.9","10.8","10.7","11.0","11.1","10.2","10.0","10.1","10.2","10.1","10.3","10.1","9.9","9.8"
"Ghana","3.3","3.5","4.6","4.1","4.6","4.1","4.7","4.6","4.6","4.1","4.0","3.8","3.8","2.9","2.8","2.8","3.2","2.8"
"Greece","8.0","8.3","8.1","7.9","8.4","8.9","9.1","9.6","9.5","8.9","8.5","8.3","8.6","8.1","","","",""
"Grenada","4.8","4.7","4.7","4.7","5.7","5.9","6.2","6.2","6.1","5.8","5.9","6.0","5.5","5.3","5.4","6.0","5.6","5.3"
"Guatemala","5.8","6.0","6.0","5.9","6.2","6.0","5.9","6.1","6.4","6.3","6.4","6.6","6.4","6.5","6.5","6.3","6.4","5.7"
"Guinea","4.1","5.3","5.8","4.8","3.5","3.5","3.8","3.0","3.0","2.9","3.1","2.9","3.1","3.3","3.6","4.1","3.6","3.5"
"Guinea-Bissau","7.2","8.0","8.6","9.5","6.9","5.7","6.0","6.6","7.2","7.3","7.6","7.3","7.7","8.0","6.6","6.3","6.8","7.7"
"Guyana","4.9","5.1","4.5","5.1","5.1","4.9","5.2","5.5","5.2","4.9","5.2","5.0","5.2","4.9","4.3","4.2","4.0","3.9"
"Haiti","8.0","8.4","8.6","7.8","7.2","9.7","10.2","8.1","6.2","6.0","5.9","5.5","5.5","5.9","5.8","6.0","6.6","6.9"
"Honduras","7.9","8.2","7.7","8.2","8.5","8.6","8.8","8.7","8.9","8.6","8.2","8.1","7.7","7.0","6.9","6.4","6.1","6.4"
"Hungary","6.9","7.1","7.0","7.1","7.3","7.5","7.5","7.5","7.2","7.1","7.2","7.8","8.0","7.8","8.1","7.1","6.8","6.8"
"Iceland","8.3","8.1","8.2","8.3","8.2","8.2","8.3","8.5","8.9","8.6","8.6","8.8","9.1","9.5","10.0","9.5","8.8","9.0"
"India","3.5","3.5","3.6","3.6","3.7","3.3","3.2","3.3","3.5","3.5","3.5","3.6","3.8","4.0","4.0","4.2","4.3","4.0"
"Indonesia","3.0","3.1","3.0","3.1","3.0","2.9","3.0","3.0","2.7","2.6","2.9","2.7","2.6","2.2","2.3","2.0","2.2","1.9"
"Iran (Islamic Republic of)","8.7","8.9","7.8","6.9","6.0","6.6","6.6","6.8","6.6","5.3","5.0","5.2","5.3","5.2","5.1","4.8","5.1","4.7"
"Iraq","4.2","3.3","3.1","2.8","2.8","2.7","2.8","3.2","3.8","3.0","3.1","2.4","2.9","3.8","3.0","","",""
"Ireland","7.2","7.4","7.3","9.7","10.3","10.7","10.7","10.5","10.5","9.1","7.8","7.5","7.6","7.2","7.0","6.7","6.4","5.9"
"Israel","7.4","7.3","7.1","7.1","7.1","7.1","7.0","7.0","7.1","7.0","6.9","6.9","7.1","7.0","7.1","7.2","7.2","6.8"
"Italy","8.8","8.9","9.0","9.0","9.0","9.0","8.8","9.0","9.0","8.6","8.2","8.5","8.4","8.2","7.9","7.9","7.8","7.6"
"Jamaica","6.0","5.7","5.7","5.2","5.2","5.0","4.9","5.0","4.8","5.4","5.1","4.5","4.4","5.3","4.6","4.9","5.3","5.8"
"Japan","10.9","10.8","10.9","10.8","10.8","10.8","10.6","9.2","9.1","8.2","7.9","7.8","7.8","7.7","7.6","7.5","7.4","7.2"
"Jordan","8.1","7.2","7.6","7.3","7.2","7.9","8.3","8.4","9.5","8.8","8.3","8.1","8.9","9.0","9.1","9.7","9.9","9.6"
"Kazakhstan","3.1","3.4","3.0","2.7","2.9","3.1","2.7","2.7","3.5","3.0","2.7","3.4","3.9","4.0","3.7","3.6","3.5","4.2"
"Kenya","4.8","5.0","5.2","5.5","5.5","5.6","5.8","6.1","6.0","6.0","6.0","5.9","5.3","5.3","5.2","5.0","4.8","4.6"
