,"Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for cervical cancer","Existence of national screening program for cervical cancer","Existence of national screening program for cervical cancer","Most widely used screening method in national cervical cancer screening program","Most widely used screening method in national cervical cancer screening program","Most widely used screening method in national cervical cancer screening program","Type of national cervical cancer screening program","Type of national cervical cancer screening program","Type of national cervical cancer screening program","Coverage of national cervical cancer screening program (%)","Coverage of national cervical cancer screening program (%)","Coverage of national cervical cancer screening program (%)","Existence of national HPV vaccination programme","Existence of national HPV vaccination programme","Existence of national HPV vaccination programme"
"Country","2019","2017","2015","2019","2017","2015","2019","2017","2015","2019","2017","2015","2019","2017","2015","2019","2017","2015"
"Afghanistan","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Albania","Yes","Yes","Yes","Yes","Yes","No","HPV test","HPV test","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","10 to 50","10 to 50","Not applicable","No","No","No"
"Algeria","Yes","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","10 to 50","Less than 10","No","No","No"
"Andorra","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Yes","Yes","Yes"
"Angola","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","PAP smear","Not applicable","Opportunistic screening","Organized population-based screening","Not applicable","Less than 10","10 to 50","No","Yes","Yes"
"Antigua and Barbuda","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","No","No","No"
"Argentina","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","Don't know","Don't know","Don't know","Yes","Yes","Yes"
"Armenia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","No","No"
"Australia","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"Austria","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","Don't know","Don't know","Don't know","Yes","Yes","Yes"
"Azerbaijan","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Bahamas","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","Yes","Yes","Yes"
"Bahrain","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Organized population-based screening","Organized population-based screening","Less than 10","No response","Don't know","No","No","No"
"Bangladesh","Yes","Yes","No","Yes","Yes","Yes","Visual inspection","Visual inspection","No response","Opportunistic screening","Opportunistic screening","Opportunistic screening","Less than 10","Don't know","Don't know","No","Yes","Yes"
"Barbados","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Yes","Yes","Yes"
"Belarus","Yes","Yes","No","Yes","Yes","No","Visual inspection","Visual inspection","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","more than 50 but less than 70","more than 50 but less than 70","Not applicable","No","No","No"
"Belgium","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"Belize","No","No","Yes","Yes","No","Yes","Visual inspection","Not applicable","PAP smear","Opportunistic screening","Not applicable","Organized population-based screening","Less than 10","Not applicable","10 to 50","Yes","Yes","No"
"Benin","No","Yes","No","No","Yes","No","Not applicable","Visual inspection","Not applicable","Not applicable","Organized population-based screening","Not applicable","Not applicable","10 to 50","Not applicable","Yes","Yes","No"
"Bhutan","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"Bolivia (Plurinational State of)","Don't know","Yes","Yes","Don't know","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","10 to 50","Don't know","Yes","Yes","No"
"Bosnia and Herzegovina","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","Visual inspection","Organized population-based screening","Organized population-based screening","Organized population-based screening","Don't know","Don't know","10 to 50","No","No","No"
"Botswana","No","No","No data received","No","Yes","No data received","Not applicable","PAP smear","No data received","Not applicable","Organized population-based screening","No data received","Not applicable","Don't know","No data received","Yes","Yes","No data received"
"Brazil","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Opportunistic screening","Opportunistic screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Brunei Darussalam","No","No","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","10 to 50","Yes","Yes","Yes"
"Bulgaria","Yes","No","No","Yes","No","No","PAP smear","Not applicable","Not applicable","Organized population-based screening","Not applicable","Not applicable","10 to 50","Not applicable","Not applicable","Yes","Yes","Yes"
"Burkina Faso","Yes","Yes","No","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Organized population-based screening","Organized population-based screening","Opportunistic screening","10 to 50","Less than 10","Less than 10","No","Yes","Yes"
"Burundi","No","No","No","No","Yes","No","Not applicable","Visual inspection","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","Not applicable","Yes","Yes","No"
"Cabo Verde","No","Yes","No data received","No","Yes","No data received","Not applicable","PAP smear","No data received","Not applicable","Opportunistic screening","No data received","Not applicable","10 to 50","No data received","No","No","No data received"
"Cambodia","No","No","Yes","Yes","No","Yes","Visual inspection","Not applicable","Visual inspection","Organized population-based screening","Not applicable","Organized population-based screening","10 to 50","Not applicable","Less than 10","Yes","Yes","No"
"Cameroon","No","No","No","No","No","Yes","Not applicable","Not applicable","No response","Not applicable","Not applicable","No response","Not applicable","Not applicable","No response","No","Yes","No"
"Canada","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Opportunistic screening","Opportunistic screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Central African Republic","No","Yes","No","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","Less than 10","Less than 10","No","No","No"
"Chad","No","No","Yes","No","No","Yes","Not applicable","Not applicable","No response","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Less than 10","No","No","No"
"Chile","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","Don't know","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"China","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","Less than 10","Don't know","No","No","No"
"Colombia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","HPV test","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","70 or more","10 to 50","Yes","Yes","Yes"
"Comoros","Don't know","Don't know","No response","Don't know","Don't know","No response","Not applicable","Not applicable","No response","Not applicable","Not applicable","No response","Not applicable","Not applicable","No response","No","No","No"
"Congo","No","Yes","No","No","Yes","No","Not applicable","No response","Not applicable","Not applicable","Organized population-based screening","Not applicable","Not applicable","No response","Not applicable","No","Yes","No"
"Cook Islands","Yes","Yes","No data received","Yes","Yes","No data received","PAP smear","PAP smear","No data received","Organized population-based screening","Organized population-based screening","No data received","Less than 10","10 to 50","No data received","Yes","Yes","No data received"
"Costa Rica","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","Don't know","more than 50 but less than 70","Don't know","Yes","No","No"
"C̫te d'Ivoire","No","Yes","No data received","Yes","Yes","No data received","Visual inspection","No response","No data received","Opportunistic screening","Opportunistic screening","No data received","10 to 50","Less than 10","No data received","No","No","No data received"
"Croatia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Cuba","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","No","No","No"
"Cyprus","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","70 or more","more than 50 but less than 70","10 to 50","Yes","Yes","No"
"Czechia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","No"
"Democratic People's Republic of Korea","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","No response","70 or more","No","Don't know","Don't know"
"Democratic Republic of the Congo","No response","Yes","No data received","No response","Yes","No data received","Not applicable","Visual inspection","No data received","Not applicable","Opportunistic screening","No data received","Not applicable","Less than 10","No data received","No response","No","No data received"
"Denmark","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","HPV test","HPV test","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","10 to 50","more than 50 but less than 70","Yes","Yes","Yes"
"Djibouti","Yes","Yes","No data received","Yes","Yes","No data received","PAP smear","PAP smear","No data received","Organized population-based screening","Organized population-based screening","No data received","10 to 50","10 to 50","No data received","No","No","No data received"
"Dominica","No","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","No","No","No"
"Dominican Republic","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Organized population-based screening","Organized population-based screening","70 or more","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","No"
"Ecuador","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","Less than 10","10 to 50","70 or more","Yes","Yes","Yes"
"Egypt","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"El Salvador","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","No","No","No"
"Equatorial Guinea","No","No","No data received","No","Yes","No data received","Not applicable","PAP smear","No data received","Not applicable","Don't know","No data received","Not applicable","Don't know","No data received","No","No","No data received"
"Eritrea","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","Less than 10","Less than 10","No","No","No"
"Estonia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","10 to 50","10 to 50","Yes","Yes","No"
"Eswatini","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","10 to 50","10 to 50","No","No","No"
"Ethiopia","Yes","No","No","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Opportunistic screening","Opportunistic screening","Opportunistic screening","Less than 10","Less than 10","Less than 10","Yes","Yes","No"
"Fiji","No","No","No","Yes","Yes","Yes","PAP smear","Visual inspection","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Finland","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"France","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","more than 50 but less than 70","10 to 50","more than 50 but less than 70","Yes","Yes","Yes"
"Gabon","No","Yes","No data received","No","Yes","No data received","Not applicable","PAP smear","No data received","Not applicable","Organized population-based screening","No data received","Not applicable","Don't know","No data received","No","No","No data received"
"Gambia","No","No response","Yes","No","No response","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","Yes","No response","Yes"
"Georgia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","10 to 50","10 to 50","Less than 10","No","Yes","No"
"Germany","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","HPV test","PAP smear","Opportunistic screening","Opportunistic screening","Organized population-based screening","70 or more","No response","70 or more","Yes","Yes","Yes"
"Ghana","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","Less than 10","Less than 10","No","No","No"
"Greece","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","Don't know","Don't know","Don't know","Yes","Yes","Yes"
"Grenada","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Organized population-based screening","Not applicable","Not applicable","70 or more","Yes","No","No"
"Guatemala","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","Visual inspection","Opportunistic screening","Opportunistic screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","No","No"
"Guinea","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","No response","Opportunistic screening","Opportunistic screening","Organized population-based screening","Less than 10","Less than 10","Less than 10","No","No","No"
"Guinea-Bissau","No","No","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","No","No","No data received"
"Guyana","No","Yes","No","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Haiti","Yes","Yes","No","Yes","Yes","No","HPV test","PAP smear","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","Don't know","Don't know","Not applicable","Don't know","No","No"
"Honduras","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","10 to 50","Yes","Yes","Yes"
"Hungary","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","Less than 10","Yes","Yes","Yes"
"Iceland","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","70 or more","70 or more","Yes","Yes","Yes"
"India","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Organized population-based screening","Organized population-based screening","Opportunistic screening","70 or more","70 or more","Less than 10","No","No","No"
"Indonesia","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Organized population-based screening","Organized population-based screening","Organized population-based screening","Less than 10","10 to 50","Less than 10","Yes","Yes","No"
"Iran (Islamic Republic of)","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","Less than 10","Less than 10","10 to 50","No","No","No"
"Iraq","Yes","Yes","Yes","No","Yes","No","Not applicable","Visual inspection","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","Not applicable","No","No","No"
"Ireland","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Israel","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Italy","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","10 to 50","Yes","Yes","Yes"
"Jamaica","No","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","10 to 50","10 to 50","Yes","No","No"
"Japan","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Jordan","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Kazakhstan","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","more than 50 but less than 70","70 or more","No","No","Yes"
"Kenya","Yes","Yes","No","Yes","Yes","Yes","HPV test","Visual inspection","Visual inspection","Opportunistic screening","Organized population-based screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","No","Yes"
"Kiribati","Yes","No","No response","Yes","No","No response","PAP smear","Not applicable","No response","Opportunistic screening","Not applicable","No response","10 to 50","Not applicable","No response","No","No","Yes"
"Kuwait","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Kyrgyzstan","Yes","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","Visual inspection","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","more than 50 but less than 70","10 to 50","No","No","No"
