,"Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for cervical cancer","Existence of national screening program for cervical cancer","Existence of national screening program for cervical cancer","Most widely used screening method in national cervical cancer screening program","Most widely used screening method in national cervical cancer screening program","Most widely used screening method in national cervical cancer screening program","Type of national cervical cancer screening program","Type of national cervical cancer screening program","Type of national cervical cancer screening program","Coverage of national cervical cancer screening program (%)","Coverage of national cervical cancer screening program (%)","Coverage of national cervical cancer screening program (%)","Existence of national HPV vaccination programme","Existence of national HPV vaccination programme","Existence of national HPV vaccination programme"
"Lao People's Democratic Republic","Yes","No","No","Yes","No","No","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","Not applicable","Not applicable","Yes","No","Yes"
"Latvia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Lebanon","Yes","Yes","Yes","Yes","No","No","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","more than 50 but less than 70","Not applicable","Not applicable","No","No","No"
"Lesotho","No","No","Yes","No","Yes","Yes","Not applicable","Visual inspection","PAP smear","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","10 to 50","10 to 50","No","Yes","Yes"
"Liberia","No","No","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Yes","Yes","No data received"
"Libya","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","Yes","Yes"
"Lithuania","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Luxembourg","Yes","Yes","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Yes","Yes","No data received"
"Madagascar","No","Yes","No","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Opportunistic screening","Organized population-based screening","Organized population-based screening","Less than 10","Less than 10","Less than 10","No","Yes","Yes"
"Malawi","No","No","Yes","Yes","Yes","Yes","Visual inspection","HPV test","PAP smear","Organized population-based screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","Less than 10","Yes","Yes","Yes"
"Malaysia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Maldives","Yes","Yes","No","Yes","Yes","Yes","PAP smear","PAP smear","No response","Organized population-based screening","Opportunistic screening","No response","10 to 50","Less than 10","No response","No","No","No"
"Mali","No","Yes","Yes","No","Yes","Yes","Not applicable","HPV test","Visual inspection","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","Don't know","Less than 10","No","No","Yes"
"Malta","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Opportunistic screening","Opportunistic screening","Don't know","Don't know","Don't know","Yes","Yes","Yes"
"Marshall Islands","Yes","No","Yes","Yes","No","Yes","PAP smear","Not applicable","No response","Opportunistic screening","Not applicable","Organized population-based screening","10 to 50","Not applicable","No response","Yes","Yes","Yes"
"Mauritania","No","Yes","No","No","Yes","No","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Less than 10","Not applicable","No","No","No"
"Mauritius","No","Yes","No data received","No","Yes","No data received","Not applicable","PAP smear","No data received","Not applicable","Organized population-based screening","No data received","Not applicable","10 to 50","No data received","Yes","Yes","No data received"
"Mexico","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","Don't know","Don't know","Don't know","Yes","Yes","Yes"
"Micronesia (Federated States of)","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Opportunistic screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Monaco","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","No response","Organized population-based screening","Organized population-based screening","Organized population-based screening","No response","70 or more","70 or more","Yes","Yes","Yes"
"Mongolia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","No","No","No"
"Montenegro","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","No","No","No"
"Morocco","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","No response","Organized population-based screening","Organized population-based screening","Organized population-based screening","Less than 10","10 to 50","Less than 10","No","No","No"
"Mozambique","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Opportunistic screening","Opportunistic screening","Organized population-based screening","more than 50 but less than 70","10 to 50","10 to 50","No","Yes","Yes"
"Myanmar","Yes","Yes","No","Yes","Yes","No","Visual inspection","Visual inspection","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","Less than 10","Less than 10","Not applicable","No","No","No"
"Namibia","No","No","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","No","No","No data received"
"Nauru","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","No","No","No"
"Nepal","No","No","No","Yes","Yes","No","Visual inspection","Visual inspection","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","10 to 50","10 to 50","Not applicable","No","Yes","No"
"Netherlands","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","70 or more","Yes","Yes","Yes"
"New Zealand","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Nicaragua","Yes","No","Yes","Yes","No","Yes","PAP smear","Not applicable","PAP smear","Organized population-based screening","Not applicable","Organized population-based screening","10 to 50","Not applicable","10 to 50","No","No","No"
"Niger","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Nigeria","No","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","Visual inspection","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","No response","Less than 10","No","Yes","Yes"
"Niue","No","No","No","Yes","No","Yes","PAP smear","Not applicable","PAP smear","Opportunistic screening","Not applicable","No response","10 to 50","Not applicable","No response","No","No","No"
"Norway","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","more than 50 but less than 70","70 or more","Yes","Yes","Yes"
"Oman","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Pakistan","No","Yes","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Palau","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","10 to 50","Yes","Yes","Yes"
"Panama","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Papua New Guinea","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","10 to 50","No","Yes","No"
"Paraguay","No","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Peru","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","Visual inspection","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","Less than 10","Don't know","Yes","Yes","Yes"
"Philippines","Yes","No","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","Visual inspection","Opportunistic screening","Opportunistic screening","Opportunistic screening","Don't know","Less than 10","Don't know","Yes","Yes","Yes"
"Poland","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","No","No","No"
"Portugal","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","more than 50 but less than 70","Yes","Yes","Yes"
"Qatar","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Opportunistic screening","Opportunistic screening","Less than 10","Don't know","No response","Yes","No","No"
"Republic of Korea","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","more than 50 but less than 70","10 to 50","Yes","Yes","No"
"Republic of Moldova","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","Visual inspection","Opportunistic screening","Opportunistic screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","No","No"
"Republic of North Macedonia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"Romania","Yes","Yes","No","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","No","Yes"
"Russian Federation","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","10 to 50","No","No","No"
"Rwanda","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Opportunistic screening","Organized population-based screening","Not applicable","Less than 10","10 to 50","Yes","Yes","Yes"
"Saint Kitts and Nevis","No","Yes","No","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","10 to 50","10 to 50","No","No","No"
"Saint Lucia","No","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Opportunistic screening","Organized population-based screening","Not applicable","Don't know","Less than 10","Yes","No","No"
"Saint Vincent and the Grenadines","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","more than 50 but less than 70","Yes","Yes","No"
"Samoa","No","No","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","No","No","No data received"
"San Marino","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","HPV test","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Sao Tome and Principe","No","No","No","No","Yes","Yes","Not applicable","HPV test","HPV test","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","10 to 50","10 to 50","Yes","No","Yes"
"Saudi Arabia","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Senegal","Yes","No","No","Yes","No","No","Visual inspection","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","10 to 50","Not applicable","Not applicable","Yes","Yes","Yes"
"Serbia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","No","Yes","No"
"Seychelles","No","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","70 or more","10 to 50","Yes","Yes","Yes"
"Sierra Leone","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Singapore","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"Slovakia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","No","No"
"Slovenia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Solomon Islands","No","No","No","Yes","No","No","Visual inspection","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","10 to 50","Not applicable","Not applicable","Yes","Yes","Yes"
"Somalia","Yes","No","No","Yes","No","No","PAP smear","Not applicable","Not applicable","Don't know","Not applicable","Not applicable","Don't know","Not applicable","Not applicable","No","No","No"
"South Africa","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"South Sudan","No","No","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","No","No","No data received"
"Spain","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","PAP smear","Organized population-based screening","Opportunistic screening","Opportunistic screening","more than 50 but less than 70","70 or more","Don't know","Yes","Yes","Yes"
"Sri Lanka","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","10 to 50","10 to 50","Yes","No","No"
"Sudan","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Suriname","No","No","No","No","Yes","No","Not applicable","Visual inspection","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","10 to 50","Not applicable","Yes","Yes","Yes"
"Sweden","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","70 or more","Yes","Yes","Yes"
"Switzerland","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","70 or more","70 or more","more than 50 but less than 70","Yes","Yes","Yes"
"Syrian Arab Republic","Yes","Yes","Yes","Yes","Yes","No","PAP smear","PAP smear","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","Don't know","Don't know","Not applicable","No","No","No"
"Tajikistan","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","10 to 50","10 to 50","No","No","No"
"Thailand","Yes","Yes","Yes","Yes","Yes","No","PAP smear","PAP smear","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","more than 50 but less than 70","more than 50 but less than 70","Not applicable","Yes","Yes","No"
"Timor-Leste","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","PAP smear","No response","Opportunistic screening","Organized population-based screening","No response","Less than 10","Less than 10","No response","No","No","Don't know"
"Togo","No","No","Yes","No","No","Yes","Not applicable","Not applicable","Visual inspection","Not applicable","Not applicable","Organized population-based screening","Not applicable","Not applicable","Less than 10","No","Yes","No"
"Tonga","Yes","No","Yes","Yes","No","No","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Less than 10","Not applicable","Not applicable","No","No","No"
"Trinidad and Tobago","Don't know","Yes","No","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Tunisia","Yes","Yes","No response","Yes","Yes","No response","PAP smear","PAP smear","No response","Organized population-based screening","Opportunistic screening","No response","10 to 50","10 to 50","No response","No","No","No response"
"Turkey","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","HPV test","HPV test","Organized population-based screening","Organized population-based screening","Organized population-based screening","70 or more","70 or more","more than 50 but less than 70","No","No","No"
"Turkmenistan","Yes","Yes","Yes","Yes","Yes","Yes","Visual inspection","Visual inspection","PAP smear","Opportunistic screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","70 or more","70 or more","Yes","Yes","No"
"Tuvalu","No","No","No","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","No","No","No"
"Uganda","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Opportunistic screening","Opportunistic screening","Not applicable","10 to 50","Less than 10","Yes","Yes","Yes"
"Ukraine","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Organized population-based screening","Organized population-based screening","Less than 10","Less than 10","Less than 10","No","No","No"
"United Arab Emirates","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Organized population-based screening","Opportunistic screening","Less than 10","Less than 10","10 to 50","Yes","Yes","Yes"
"United Kingdom of Great Britain and Northern Ireland","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","No response","PAP smear","Organized population-based screening","No response","Organized population-based screening","70 or more","No response","70 or more","Yes","Don't know","Yes"
"United Republic of Tanzania","No","No","No data received","No","No","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Not applicable","Not applicable","No data received","Yes","No","No data received"
"United States of America","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","Less than 10","Less than 10","70 or more","Yes","Yes","Yes"
"Uruguay","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","70 or more","70 or more","10 to 50","Yes","Yes","Yes"
"Uzbekistan","No","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","No response","Don't know","No","No","No"
"Vanuatu","Yes","No","No","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Opportunistic screening","Opportunistic screening","Opportunistic screening","10 to 50","10 to 50","10 to 50","Yes","Yes","Yes"
"Venezuela (Bolivarian Republic of)","Yes","Yes","No data received","Yes","Yes","No data received","PAP smear","PAP smear","No data received","Organized population-based screening","Organized population-based screening","No data received","10 to 50","more than 50 but less than 70","No data received","No","No","No data received"
"Viet Nam","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","Less than 10","No","No","No"
"Yemen","No","No","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Zambia","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","Visual inspection","Not applicable","Organized population-based screening","Organized population-based screening","Not applicable","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
"Zimbabwe","No","No","Yes","No","Yes","Yes","Not applicable","PAP smear","Visual inspection","Not applicable","Don't know","Organized population-based screening","Not applicable","10 to 50","10 to 50","Yes","No","Yes"
