countryExistence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men
Kyrgyzstan,No,PAP smear,Opportunistic screening,more than 50 but less than 70,No,6.2,241.2,78.8,136.0,44.4,,,,,,,
Lao People's Democratic Republic,Yes,PAP smear,Opportunistic screening,,Yes,2.5,177.9,62.1,82.2,28.7,,,,,,,
Latvia,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.0,1682.3,930.4,706.4,390.6,,17.7,52.5,15400.0,15400.0,29.6,82.6
Lebanon,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,No,8.2,1185.3,719.4,393.8,239.0,Asia,24.4,94.5,6270.0,6270.0,24.4,73.5
Lesotho,No,Visual inspection,Opportunistic screening,10 to 50,No,8.8,265.5,104.6,44.2,17.4,Africa,21.9,34.7,1410.0,1580.0,38.4,47.7
Liberia,No,,,,Yes,8.2,104.7,56.6,47.6,25.8,Africa,19.1,19.3,548.0,497.0,31.6,24.3
Libya,No,,,,No,6.1,627.3,312.6,230.0,114.6,Africa,13.3,41.5,7090.0,12100.0,16.6,36.1
Lithuania,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.5,2132.6,1078.2,688.3,348.0,,17.4,55.6,16900.0,16200.0,28.3,164.0
Luxembourg,No,,,,Yes,5.5,5956.5,5782.6,636.7,618.1,,21.7,119.0,109000.0,69600.0,18.9,110.0
Madagascar,Yes,Visual inspection,Opportunistic screening,Less than 10,No,5.5,85.5,24.7,21.1,6.1,Africa,15.2,18.5,481.0,468.0,38.8,39.6
Malawi,Yes,Visual inspection,Organized population-based screening,10 to 50,Yes,9.6,114.8,32.3,12.2,3.4,Africa,14.0,15.6,513.0,510.0,27.1,22.3
Malaysia,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,3.9,1139.0,384.1,432.2,145.7,Asia,17.3,52.2,11700.0,11400.0,9.32,22.9
Maldives,Yes,PAP smear,Organized population-based screening,10 to 50,No,9.0,1506.9,1006.9,311.1,207.9,,10.5,23.2,7810.0,6230.0,6.78,12.3
Mali,No,HPV test,Organized population-based screening,Less than 10,No,3.8,84.2,31.4,29.6,11.0,Africa,17.4,17.9,764.0,729.0,15.4,11.9
Malta,Yes,PAP smear,Organized population-based screening,,Yes,9.3,3943.1,2585.6,1370.4,898.6,,20.5,83.0,27700.0,25400.0,14.1,87.4
Marshall Islands,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,16.4,709.7,642.2,88.1,79.7,,20.2,39.5,2980.0,3940.0,19.0,26.4
Mauritania,No,PAP smear,Opportunistic screening,Less than 10,No,4.4,170.1,48.8,84.3,24.2,Africa,19.3,21.1,1320.0,1300.0,31.2,26.6
Mauritius,No,PAP smear,Organized population-based screening,10 to 50,Yes,5.7,1278.0,599.7,624.5,293.0,Africa,18.5,53.3,10200.0,11000.0,17.1,38.6
Mexico,Yes,PAP smear,Opportunistic screening,,Yes,5.5,1035.6,494.7,427.5,204.2,Americas,12.3,40.5,10300.0,10000.0,18.8,60.3
Micronesia (Federated States of),Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,12.4,493.2,424.8,11.9,10.2,,,,,,,
Monaco,Yes,PAP smear,Organized population-based screening,70 or more,Yes,1.8,2991.1,2932.4,206.0,202.0,,,,186000.0,,,
Mongolia,Yes,PAP smear,Organized population-based screening,10 to 50,No,4.0,518.1,148.8,166.6,47.8,Asia,7.81,16.4,4000.0,3400.0,5.82,9.33
Montenegro,Yes,HPV test,Organized population-based screening,10 to 50,No,,,,,,Europe,21.1,63.0,7850.0,8040.0,21.4,48.5
Morocco,Yes,Visual inspection,Organized population-based screening,Less than 10,No,5.2,438.1,161.0,236.3,86.8,Africa,18.9,44.6,3310.0,3240.0,9.14,14.1
Mozambique,Yes,Visual inspection,Opportunistic screening,more than 50 but less than 70,No,4.9,61.8,21.1,4.6,1.6,Africa,11.7,11.1,589.0,570.0,15.0,11.0
Myanmar,Yes,Visual inspection,Opportunistic screening,Less than 10,No,4.7,287.6,58.0,219.3,44.2,Asia,19.7,16.7,1490.0,1450.0,15.7,19.8
Namibia,No,,,,No,8.6,895.4,447.3,69.2,34.6,Africa,16.0,26.5,6190.0,6000.0,24.3,31.5
Nauru,No,PAP smear,Opportunistic screening,,No,11.0,1309.6,1106.8,12.1,10.2,,,,10200.0,5730.0,,
Nepal,Yes,Visual inspection,Organized population-based screening,10 to 50,No,5.6,150.1,47.9,86.7,27.7,Asia,12.3,14.4,779.0,789.0,6.58,6.66
Netherlands,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,10.1,5513.1,4911.4,611.2,544.5,Europe,23.4,117.0,53900.0,54300.0,25.6,137.0
New Zealand,Yes,HPV test,Organized population-based screening,70 or more,Yes,9.2,3767.5,3937.2,511.5,534.6,Oceania,22.0,98.6,37700.0,36200.0,22.9,151.0
Nicaragua,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.6,506.2,192.1,165.0,62.6,Americas,8.73,17.4,1960.0,1900.0,18.5,29.7
Niger,No,,,,No,7.7,78.9,29.3,37.7,14.0,Africa,12.2,11.7,394.0,385.0,29.7,22.3
Nigeria,No,PAP smear,Organized population-based screening,Less than 10,No,3.8,221.1,73.9,170.7,57.1,Africa,25.2,38.1,2410.0,2350.0,50.8,58.6
Niue,Yes,PAP smear,Opportunistic screening,10 to 50,No,8.6,1106.5,1258.9,9.9,11.3,,,,,,,
Norway,Yes,HPV test,Organized population-based screening,70 or more,Yes,10.4,6518.9,7936.4,924.2,1125.2,Europe,16.9,83.8,91500.0,95300.0,30.9,158.0
Oman,No,,,,No,3.8,1590.8,587.6,106.5,39.3,Asia,10.5,27.9,16100.0,16000.0,8.32,16.5
Pakistan,No,,,,No,2.9,160.6,44.6,96.7,26.9,Asia,29.0,42.5,1160.0,1220.0,8.14,12.9
Palau,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,12.0,1777.8,1596.4,274.8,246.8,,,,12100.0,12800.0,,
Panama,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,7.3,1794.8,1112.3,597.1,370.1,Americas,13.4,46.8,11500.0,10400.0,27.8,107.0
Papua New Guinea,No,PAP smear,Opportunistic screening,10 to 50,No,2.5,103.9,61.5,9.3,5.5,,22.9,29.1,2490.0,1800.0,18.2,20.6
Paraguay,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.7,866.6,381.1,382.8,168.4,Americas,21.1,46.9,5270.0,5110.0,29.2,50.6
Peru,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,5.0,681.2,332.6,192.0,93.7,Americas,9.69,22.2,6310.0,6030.0,23.5,46.6
Philippines,Yes,Visual inspection,Opportunistic screening,Less than 10,Yes,4.4,371.7,132.9,197.2,70.5,Asia,22.3,46.0,2880.0,3470.0,22.0,32.2
Poland,Yes,PAP smear,Opportunistic screening,10 to 50,No,6.5,1958.2,906.8,451.4,209.0,Europe,17.3,60.4,15800.0,15200.0,23.2,54.8
Portugal,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.0,2917.4,1908.0,803.2,525.3,Europe,17.1,62.1,23400.0,22800.0,24.6,90.5
Qatar,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,2.6,3354.4,1649.2,298.6,146.8,,19.9,58.4,63600.0,62500.0,9.75,24.0
Republic of Korea,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7.6,2980.2,2283.1,1003.4,768.7,,,,,,,
Republic of Moldova,Yes,PAP smear,Opportunistic screening,70 or more,Yes,7.0,476.7,191.2,208.0,83.4,,,,,,,
Republic of North Macedonia,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.1,926.9,328.4,295.7,104.8,,,,,,,
Romania,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,5.2,1367.8,555.1,280.2,113.7,Europe,17.7,50.3,11000.0,10700.0,16.0,59.5
Russian Federation,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,No,5.3,1404.2,585.9,568.6,237.2,,,,,,,
Rwanda,No,Visual inspection,Opportunistic screening,Less than 10,Yes,6.6,134.4,49.2,8.4,3.1,Africa,16.0,17.7,780.0,761.0,46.4,39.2
Saint Kitts and Nevis,No,PAP smear,Opportunistic screening,10 to 50,No,5.0,1442.1,902.7,688.9,431.2,,,,,,,
Saint Lucia,No,PAP smear,Opportunistic screening,Less than 10,Yes,4.5,662.3,460.1,296.4,205.9,,,,,,,
Saint Vincent and the Grenadines,No,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,4.5,528.1,320.6,164.7,100.0,,,,,,,
Samoa,No,,,,No,5.5,364.0,233.1,43.2,27.6,,23.4,30.3,3850.0,3460.0,20.8,21.5
San Marino,Yes,HPV test,Organized population-based screening,70 or more,Yes,7.4,4369.7,3361.6,757.4,582.7,,,,53300.0,,,
Sao Tome and Principe,No,HPV test,Organized population-based screening,10 to 50,Yes,6.2,209.2,119.7,28.8,16.5,Africa,13.7,16.7,1290.0,1100.0,17.8,16.9
Saudi Arabia,No,,,,No,5.2,2826.3,1093.4,476.5,184.3,Asia,12.0,36.4,20700.0,21000.0,8.99,21.0
Senegal,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,4.1,143.1,55.0,75.0,28.8,Africa,18.3,16.9,1490.0,1450.0,37.3,24.1
Serbia,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.4,1382.2,528.5,577.1,220.7,Europe,25.2,69.2,6560.0,6130.0,21.3,47.3
Seychelles,No,PAP smear,Organized population-based screening,70 or more,Yes,5.0,1485.5,791.7,365.4,194.7,,22.6,61.7,14000.0,10200.0,60.4,127.0
Sierra Leone,No,,,,No,13.4,205.4,66.4,103.5,33.5,Africa,19.6,21.3,467.0,452.0,29.8,24.9
Singapore,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,4.4,4270.0,2618.7,1371.7,841.3,Asia,14.5,75.2,56700.0,52700.0,8.32,40.2
Slovakia,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.7,2184.2,1186.1,408.7,222.0,,,,,,,
Slovenia,Yes,PAP smear,Organized population-based screening,70 or more,Yes,8.2,2960.6,1920.3,365.0,236.7,Europe,18.5,65.7,25700.0,25300.0,29.6,72.7
Solomon Islands,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,4.7,115.2,101.2,6.2,5.5,,31.8,34.6,1470.0,941.0,23.7,21.2
Somalia,Yes,PAP smear,,,No,,,,,,Africa,24.2,23.9,,,43.9,38.2
South Africa,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,8.1,1097.8,499.2,85.3,38.8,Africa,17.7,46.4,7480.0,7250.0,36.5,77.2
South Sudan,No,,,,No,9.8,175.8,22.9,33.7,4.4,,12.5,13.6,731.0,,36.8,33.8
Spain,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,8.9,3468.7,2506.5,817.4,590.7,Europe,14.9,59.9,32300.0,32300.0,17.8,65.0
Sri Lanka,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.8,503.6,159.5,250.6,79.4,Asia,9.45,21.3,3850.0,3750.0,7.25,13.5
Sudan,No,,,,No,6.3,313.7,193.8,227.4,140.5,Africa,17.5,29.6,1950.0,1800.0,11.6,13.0
Suriname,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.2,946.4,339.3,249.7,89.5,,18.7,39.8,7970.0,8060.0,49.5,80.5
Sweden,Yes,PAP smear,Organized population-based screening,70 or more,Yes,11.0,5699.6,5904.6,856.8,887.6,Europe,18.6,96.7,57400.0,58200.0,31.4,154.0
Switzerland,Yes,PAP smear,Opportunistic screening,70 or more,Yes,12.3,8217.0,9956.3,2378.6,2882.0,Europe,18.9,88.2,77700.0,77700.0,22.8,132.0
Syrian Arab Republic,Yes,PAP smear,Organized population-based screening,,No,3.6,159.7,69.9,85.8,37.5,,,,,,,
Tajikistan,No,Visual inspection,Opportunistic screening,10 to 50,No,7.2,231.4,57.9,146.1,36.6,,7.81,13.5,1020.0,1090.0,6.6,8.47
Thailand,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.7,670.9,247.0,74.8,27.5,Asia,11.8,31.1,6130.0,5850.0,8.4,17.7
Timor-Leste,Yes,Visual inspection,Opportunistic screening,Less than 10,No,3.9,263.8,83.2,22.0,6.9,,13.8,20.4,2740.0,2780.0,14.6,16.3
Togo,No,Visual inspection,Organized population-based screening,Less than 10,No,6.2,103.7,38.0,60.6,22.2,Africa,19.5,19.0,660.0,660.0,33.8,26.1
Tonga,Yes,PAP smear,Opportunistic screening,Less than 10,No,5.3,335.3,222.0,35.6,23.6,,44.1,66.8,4090.0,3670.0,39.5,47.0
Trinidad and Tobago,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7.0,2205.8,1124.1,877.4,447.1,Americas,22.6,60.1,15300.0,15900.0,72.6,144.0
Tunisia,Yes,PAP smear,Organized population-based screening,10 to 50,No,7.2,863.3,250.6,337.7,98.0,Africa,17.5,41.8,4340.0,4010.0,14.6,24.3
Turkey,Yes,HPV test,Organized population-based screening,70 or more,No,4.2,1180.6,444.7,205.2,77.3,Europe,10.3,32.5,14900.0,14700.0,14.9,33.7
Turkmenistan,Yes,Visual inspection,Opportunistic screening,more than 50 but less than 70,Yes,6.9,1249.6,456.5,909.2,332.1,,11.2,33.8,7320.0,4070.0,6.31,13.4
Tuvalu,Yes,PAP smear,Opportunistic screening,10 to 50,No,17.1,694.3,622.2,3.6,3.2,,,,3590.0,4840.0,,
Uganda,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.3,122.7,38.9,47.3,15.0,Africa,27.7,33.0,694.0,675.0,75.5,64.2
Ukraine,Yes,PAP smear,Opportunistic screening,Less than 10,No,7.0,584.6,177.4,305.8,92.8,,18.0,46.9,2990.0,2900.0,15.3,38.1
United Arab Emirates,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,3.3,2468.5,1357.0,465.8,256.0,,18.3,56.5,40700.0,41000.0,10.7,24.5
United Kingdom of Great Britain and Northern Ireland,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.6,4338.4,3858.7,692.3,615.7,,,,,,,
United Republic of Tanzania,No,,,,Yes,3.6,104.3,33.9,25.1,8.2,,,,,,,
United States of America,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,17.1,10246.1,10246.1,1126.3,1126.3,,,,,,,
Uruguay,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.3,2101.9,1591.5,368.9,279.3,Americas,26.5,70.1,14400.0,13600.0,38.8,84.6
Uzbekistan,No,PAP smear,Organized population-based screening,,No,6.4,447.9,98.8,239.3,52.8,,13.3,32.7,2290.0,1640.0,6.03,9.99
Vanuatu,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,3.3,110.4,105.7,9.9,9.5,,27.3,31.7,2860.0,2870.0,23.6,22.1
Venezuela (Bolivarian Republic of),Yes,PAP smear,Organized population-based screening,10 to 50,No,1.2,141.0,94.2,88.8,59.4,,,,,,,
Viet Nam,Yes,PAP smear,Organized population-based screening,10 to 50,No,5.5,375.6,129.6,170.0,58.6,,,,,,,
Yemen,No,,,,No,4.2,139.0,72.0,112.5,58.3,,20.0,26.6,703.0,1260.0,11.8,11.8
Zambia,No,Visual inspection,Organized population-based screening,more than 50 but less than 70,Yes,4.5,180.3,67.6,21.4,8.0,Africa,14.7,15.9,1660.0,1390.0,50.9,45.5
Zimbabwe,No,PAP smear,Organized population-based screening,10 to 50,Yes,6.6,201.0,110.1,41.5,22.7,Africa,26.7,28.3,1260.0,1150.0,78.2,62.9
