country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3790,3870,4050,4210,4250,4400,4450,4580,4760,4880,
Algeria,2870,2490,1780,2190,2220,2240,2060,2220,2400,2560,2660,2320,2890,2910,3040,3090,3230,3160,3390,3500,3430,3410,3540,3650,3770,3820,3740,3610,3430,3510,3440,3240,3270,3170,3060,3080,3130,3140,3280,3310,3350,3500,3610,3820,3900,4000,4050,4290,4370,4350,4470,4460,4460,4470,4550,4610,4770,4700,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,1820,2180,2190,2300,2520,2650,2970,3030,3270,3240,3230,3410,3510,3610,3590,3370,3320,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12700,,,,,,,,
Argentina,5790,6020,5860,5460,5930,6460,6410,6280,6370,6940,6830,7450,7270,7490,7780,7730,7360,7690,7250,7850,7850,7220,6810,7010,7040,6560,6920,6990,6820,5990,6000,6530,7030,7560,7890,7540,7850,8380,8570,8180,8020,7570,6500,7090,7090,7620,8880,9650,9950,9220,10000,10600,10400,10600,10200,10400,10000,10100,9670
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,1040,1150,1240,1300,1350,1440,1590,1820,2080,2310,2680,3070,3550,3850,3260,3380,3480,3730,3910,3970,4050,3980,4320,4440
Australia,19400,19400,19300,20000,21000,21900,21800,22800,23500,24500,25900,26000,26700,27100,27400,27600,27900,28400,28200,29100,29600,30300,30400,29600,30500,31600,32300,32600,33900,34300,34800,34000,33800,35200,36400,36900,37800,38900,40400,42000,43200,43500,44700,45400,46700,47100,47600,48800,49700,49900,50000,50400,52000,52800,53200,54000,54500,54600,55100
Austria,,,,,,,,,,,19500,20400,21500,22500,23400,23300,24400,25600,25600,27000,27600,27500,28000,28900,29000,29700,30200,30600,31700,32900,34200,34800,35100,35000,35600,36400,37300,37900,39200,40100,41600,41800,42600,42900,43900,44500,46100,47500,48500,46100,47300,48200,48200,48000,47900,47300,48300,48700,49900
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,1400,1220,1220,1280,1400,1480,1560,1710,1850,2020,2140,2560,3320,3970,4540,5180,5460,5190,5330,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500,28200,26500,25700,25000,25300,30100,33100,27300,28100,30100,30900,31100,31500,30600,30400,30800,30900,30700,30000,28000,27900,27700,28500,27600,26500,26500,26300,26300,25700
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500,21800,21100,21300,21400,21600,21400,21600,20800,18800,18800,17600,20200,21000,21300,21300,21200,21000,20300
Bangladesh,,,,,,,,,,,,,,330,355,333,344,343,358,366,360,383,381,391,398,397,404,410,408,409,421,426,440,452,462,475,484,495,510,524,543,558,574,591,614,646,688,732,776,807,844,887,938,979,1010,1070,1120,1180,1260
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15700,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,3130,2830,2610,2300,2070,2130,2380,2590,2700,2870,3020,3190,3450,3870,4270,4700,5100,5620,5600,6070,6380,6480,6460,6590,6250,6070,6280,6470
Belgium,,,,,,,,,,,20100,20800,21800,23100,24100,23500,24800,24900,25500,26000,27100,27100,27100,27200,27900,28500,29000,29700,31000,31900,32800,33400,33800,33700,34900,35600,36000,37300,38000,39200,40600,40700,41100,41400,42500,43200,44100,45300,45600,44100,44800,44400,45400,45400,45800,46100,46400,47200,47500
Belize,,,,,,,,,,,,,,,,,,,,,2160,2140,2050,1940,1910,1860,1930,2090,2240,2450,2690,2940,3220,3350,3240,3200,3130,3150,3110,3230,3500,3510,3610,3780,3780,3810,3880,3740,3780,3930,3840,3960,3930,3880,3900,4070,3930,3820,3830
Benin,,,,,,,,,,,,,,,,,,558,551,572,593,634,629,580,598,631,626,600,604,563,597,604,588,613,602,618,625,646,658,673,692,706,714,716,727,721,727,747,767,760,753,758,768,800,829,822,834,857,890
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,1190,1270,1340,1390,1480,1580,1830,1880,1960,2130,2260,2310,2350,2450,2590,2720,2810,2850
Bolivia,,,,,,,,,,,,,,,,,1690,1720,1700,1640,1560,1520,1420,1340,1310,1260,1190,1210,1230,1250,1290,1340,1350,1380,1420,1450,1490,1540,1590,1560,1570,1560,1570,1570,1590,1640,1690,1730,1820,1840,1870,1920,1960,2060,2170,2290,2390,2430,2500
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310,4570,4850,4740,4710,4770,4810,5040,5160,5390,5600,5750,6010
Botswana,,,,,,,,,,,,,,,,1430,1530,1650,1810,1950,2020,2280,2450,2570,2560,2630,2750,2850,3440,3660,4020,4370,4410,4550,4130,4490,4440,4810,4970,4970,4890,5000,4700,5010,4990,5210,5570,5970,6240,5890,6160,6820,7080,7450,7690,7490,7460,7580,7750
Brazil,,,,,,,,,,,4640,5060,5540,6150,6580,6720,7190,7330,7340,7630,8080,7480,7270,6790,6990,7430,7940,8130,7940,8830,7780,7790,7640,7830,8000,8410,8360,8470,8260,8120,8560,8530,8660,8670,9080,9270,9570,10100,10500,10400,11000,11300,11500,11800,11700,11200,10700,10800,10900
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37100,37200,37800,36900,37100,37700,37800,36400,35400,35700,35900,36200,36800,37200,36800,36300,37400,37200,36000,35000,35000,35000,34900,34300,33400,34500,33700,33500,31900
Bulgaria,,,,,,,,,,,,,,,,,,,,,3180,3340,3410,3530,3650,3740,3890,4100,4520,4380,3810,3460,3550,3530,3600,3680,3690,3700,4010,3710,3870,4190,4620,4880,5210,5580,5850,6020,6630,6580,6700,6790,6970,6980,7250,7460,7950,8440,8790
Burkina Faso,,,,,,256,254,272,276,277,274,272,274,270,287,286,306,298,310,315,312,316,338,330,317,336,353,343,353,351,341,362,353,354,349,360,392,403,421,439,431,447,455,476,483,511,529,541,563,562,560,572,602,621,620,623,639,662,708
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,239,232,233,226,229,218,220,218,224,225,229,228,233,234,238,243,245,228,220,214,211
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,344,352,357,389,416,440,456,489,530,587,641,701,732,720,750,788,826,882,921,960,1010,1060,1120
Cameroon,,,,,,,,736,774,813,825,850,865,833,907,1010,921,884,1240,1320,1110,1360,1460,1530,1630,1710,1800,1710,1540,1450,1290,1180,1120,1010,994,999,1010,1040,1070,1090,1080,1090,1110,1160,1220,1210,1230,1250,1260,1270,1270,1290,1300,1330,1390,1420,1440,1450,1470
Canada,,,,,,,,,,,22600,22800,23800,25100,25500,25500,26600,27100,27700,28300,28600,29000,27700,28300,29700,30800,31100,32000,32900,33000,32500,31500,31400,31900,32900,33500,33700,34900,35500,36600,38300,38400,39400,40600,41900,43600,45200,47900,47900,45900,46600,47700,48000,48800,49600,49600,49800,50700,50900
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210,3370,3280,3230,3330,3320,3330,3250,3290,3410,3490,3670
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,490,507,530,338,337,350,363,386,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,673,777,862,841,886,885,918,931,855,809,
Chile,3560,3680,3750,3890,3900,3860,4190,4250,4330,4440,4470,4860,4760,4450,4470,3750,3850,4210,4450,4750,5060,5270,4490,4160,4230,4270,4500,4800,5070,5540,5700,6050,6670,7040,7210,7770,8220,8720,9050,8850,9160,9380,9520,9600,9950,10300,10400,10900,11600,11400,11900,12600,13400,13900,14100,14300,14400,14200,14500
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1320,1430,1520,1620,1750,1880,2040,2240,2460,2710,3060,3490,3820,4130,4530,4910,5310,5660,6100,6460,6860,7300,7720
Colombia,,,,,,,,,2650,2730,2810,2910,3060,3200,3330,3300,3390,3470,3690,3820,3900,3880,3790,3740,3750,3760,3880,4000,4120,4120,4260,4290,4390,4580,4800,4970,4960,5040,5010,4730,4760,4750,4790,4870,5050,5270,5540,5830,5910,5940,6090,6430,6650,6920,7220,7470,7550,7480,7420
Comoros,,,,,,,,,,,,,,,,,,,,,1410,1410,1460,1480,1500,1490,1470,1460,1450,1380,1400,1280,1370,1360,1250,1260,1210,1220,1200,1200,1300,1300,1290,1280,1280,1280,1290,1270,1290,1300,1310,1340,1340,1370,1370,1360,1370,1390,1410
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,351,366,335,324,292,285,263,268,276,284,289,297,304,304,310,320,327,335,337,359,378,401,397,403
"Congo, Rep.",1910,2010,2070,1940,1960,1980,1960,1960,2040,2120,2180,2290,2440,2490,2640,2740,2670,2360,2420,2540,2830,3350,3940,3960,4240,4090,4010,3910,3440,3360,3110,3160,3290,2960,2870,2090,2100,2340,2700,2100,1860,2080,2110,2050,1880,1550,1390,1630,1880,2120,2110,2070,2470,2660,3100,3980,3530,3160,3030
Costa Rica,2880,2820,2840,2930,2920,3040,3150,3220,3400,3510,3680,3840,3980,4200,4340,4280,4400,4690,4820,4910,4770,4230,3570,3810,4120,4090,4230,4320,4320,4440,4660,4740,5050,5280,5460,5520,5480,5640,5830,5830,5880,5970,6070,6240,6450,6640,7080,7590,7890,7600,7880,8110,8420,8460,8610,8800,9080,9220,9330
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1170,1170,1090,1180,1240,1340,1420,1490,1550,1620
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300,11000,11600,12100,12800,13200,13800,14600,14800,13600,13500,13500,13200,13300,13400,14000,14300,15100,15700
Cuba,,,,,,,,,,,2200,2350,2420,2460,2450,2650,2760,2970,3140,3150,2980,3550,3850,4040,4350,4380,4350,4200,4320,4310,4120,3660,3240,2740,2750,2780,3000,3070,3060,3240,3410,3520,3550,3690,3890,4330,4860,5200,5420,5460,5600,5800,5970,6130,6170,6440,6450,,
Cyprus,,,,,,,,,,,,,,,,,8960,10500,11300,12300,12800,12900,13500,14100,15100,15700,15900,16800,18100,19300,20300,20000,21200,20900,21600,22000,22000,22100,25300,24000,24400,25500,26700,27300,27900,29000,29700,30300,32200,31100,30600,31200,28700,26700,26100,27700,28500,29700,32600
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100,17200,18000,18800,19200,18000,18300,18600,18700,18600,19000,19900,20400,21300,22000
Denmark,,,,,,,26200,27400,28700,30400,30600,31300,32300,33500,32900,32300,34200,34600,35300,36300,36100,35600,36700,37800,39200,40700,42700,42900,42800,42900,43300,43700,44500,44600,46900,48300,49300,50800,51900,53500,54600,55300,55500,55800,57700,59300,61600,61500,61200,57800,59000,59800,59800,60600,61600,62300,63500,64100,65400
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6830,,,,,,,,
Dominican Republic,1300,1220,1380,1430,1480,1260,1380,1380,1350,1450,1690,1830,2010,2170,2230,2290,2380,2400,2430,2500,2550,2580,2580,2640,2620,2440,2520,2700,2670,2770,2580,2540,2800,2910,2950,3060,3210,3440,3610,3760,3880,3920,4030,3830,3800,4240,4580,4860,5020,5000,5360,5440,5520,5680,6000,6380,6720,6930,7350
Ecuador,2210,2250,2290,2290,2390,2400,2320,2360,2330,2370,2460,2530,2580,2820,3060,3360,3480,3440,3520,3530,3540,3650,3520,3410,3370,3420,3450,3330,3390,3330,3420,3540,3580,3610,3690,3710,3680,3780,3800,3470,3430,3570,3670,3700,3920,4080,4210,4220,4490,4460,4560,4840,5050,5220,5330,5240,5080,5090,5040
Egypt,,,,,,705,722,713,685,697,720,732,739,742,738,779,856,909,950,958,1020,1060,1150,1180,1270,1270,1280,1420,1470,1490,1520,1550,1580,1590,1620,1670,1720,1780,1840,1910,1990,2020,2040,2060,2110,2140,2270,2390,2520,2570,2590,2570,2570,2560,2580,2660,2720,2760,2830
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,2080,2220,2320,2410,2500,2490,2530,2580,2580,2600,2610,2620,2630,2640,2700,2820,2860,2940,2840,2900,2990,3030,3070,3100,3160,3200,3250,3310
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890,12500,14100,13800,13800,10100,10500,11200,10900,10600,11000,9980,9100,7860
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,598,731,767,821,892,913,903,846,885,868,804,777,772,742,734,646,658,662,710,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9620,10200,10900,11800,12700,14100,15300,16300,15700,13800,13900,15000,15700,16200,16600,17000,17500,18500,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540,,,,,,,,
Finland,,,,,,,,,,,18200,18600,19900,21200,21700,22000,22000,21900,22500,24100,25300,25400,25900,26600,27300,28200,29000,29900,31400,32600,32500,30200,28700,28200,29500,30900,32200,34400,36000,37900,40100,41400,42100,42500,44600,45600,47400,49400,49500,45800,47100,47600,46800,46100,46000,46100,47000,48000,48900
France,,,,,,,,,,,,21000,21700,22900,23700,23300,24200,24900,25900,26700,27100,27200,27600,27700,27900,28300,28900,29600,30800,31900,32600,32800,33200,32900,33500,34000,34600,35400,36600,37900,38900,39500,39400,39500,40400,40800,41700,42400,42400,41000,41600,42400,42200,42200,42400,42700,43000,44000,44700
Gabon,,,,,,,,,,,7250,7740,8490,9070,12100,14500,19500,16700,11800,11100,11100,11600,11000,11300,12400,11700,11500,9290,10200,10900,10700,11000,10200,10200,10500,10600,10700,11000,11500,9990,8870,9360,9460,9280,8550,8990,8050,8090,7450,7810,7680,7600,8250,8540,9300,8990,8990,8920,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,795,765,767,795,821,844,748,765,763,728,735,731,744,771
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140,3400,3720,3830,4030,4070,4090,4270,
Germany,,,,,,,,,,,19800,20400,21100,22100,22200,22200,23400,24200,25000,26000,26300,26400,26300,26800,27800,28500,29100,29400,30600,31600,33000,34200,34600,33900,34400,34700,35000,35500,36000,36700,37700,38200,38000,37700,38800,39200,41000,42200,42500,40700,42400,45100,45100,45200,45800,46400,47100,48100,48800
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,1130,1200,1230,1280,1400,1460,1580,1570,1600,1610,1690,
Greece,6360,7150,7130,7950,8680,9550,10100,10600,11300,12500,13600,14700,16000,17300,16200,17000,17900,18300,19200,19700,19700,19100,18800,18400,18500,18800,18800,18400,19100,19700,19700,20200,20200,19700,20000,20400,20800,21600,22300,22700,23300,24300,25000,26200,27500,27400,28600,29300,29000,27900,26400,23800,23000,22200,22700,22600,22700,23100,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880,,,,,,,,
Guatemala,1450,1460,1470,1560,1590,1620,1650,1670,1750,1780,1830,1880,1960,2040,2130,2100,2220,2350,2410,2470,2490,2430,2280,2170,2110,2050,1980,2010,2050,2080,2090,2150,2200,2240,2270,2330,2340,2390,2460,2490,2530,2540,2550,2560,2570,2590,2660,2760,2790,2740,2750,2790,2840,2890,2930,3000,3030,3060,3100
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,661,671,641,665,681,708,695,716,738,800,865,883
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,527,521,511,515,525,530,536,534,540,555,591,565,554,576,590,612,616,621
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,3170,3330,3450,3630,3720,3740,3760,3890
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,908,900,901,836,778,674,730,749,754,756,762,758,734,716,705,671,667,680,692,687,699,668,696,707,723,735,732,735,734,735
Honduras,1120,1080,1100,1100,1130,1180,1210,1230,1280,1260,1260,1270,1310,1370,1340,1310,1380,1470,1540,1560,1520,1460,1380,1360,1400,1440,1470,1520,1500,1490,1470,1370,1410,1490,1450,1490,1480,1520,1540,1500,1550,1550,1560,1580,1630,1690,1760,1860,1890,1790,1820,1830,1850,1860,1870,1930,1960,2020,2070
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800,12300,12900,12700,13000,12400,12500,12800,12700,13200,13600,14100,14700,15200,16000
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,
India,329,334,337,350,368,351,343,362,367,383,394,391,380,384,380,406,403,423,437,406,424,438,441,462,468,482,494,502,537,556,574,567,586,603,631,667,706,721,752,804,818,845,864,916,973,1030,1100,1170,1190,1260,1340,1400,1450,1530,1620,1730,1850,1970,2080
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,3180,3330,3460,3570,3700,3850,3990,4150
Iran,,,,,,,,,,,,,,,,,,,7780,7100,4960,4570,5530,5640,4940,4860,4220,4090,3690,3800,4150,4550,4590,4570,4400,4500,4580,4580,4650,4580,4820,4800,5090,5470,5620,5730,5960,6390,6340,6310,6600,6700,6170,6080,6250,6090,6810,6960,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26800,28700,31100,33200,35400,38200,38700,39700,41300,43500,45100,46700,47200,44200,40200,40800,39500,39100,41100,44400,49600,54100,56800,
Israel,,,,,,,,,,,13600,14700,16000,16200,16700,16700,16400,16300,16700,17300,17100,17700,17600,17900,17400,17700,18400,19600,20000,19800,20800,21300,22100,22400,23400,24400,24900,25100,25500,25400,26000,26000,25600,25400,26200,27300,28400,29600,29500,28900,30100,31100,30900,31700,32800,32800,33400,33900,34700
Italy,,,,,,,,,,,17800,18000,18600,19700,20600,20000,21300,21800,22400,23800,24600,24600,24600,24900,25700,26400,27100,28000,29200,30100,30500,30900,31000,30800,31400,32500,32900,33700,34300,34900,36200,36900,36900,36800,37200,37400,38100,38300,37300,35500,35900,36100,35000,33900,33700,33700,34600,35300,35800
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,4840,4540,4530,4590,4640,4590,4600,4580,4560,4640,4630
Japan,,,,,,,,,,,18700,19300,20700,22200,21400,21800,22500,23200,24300,25400,25900,26700,27500,28300,29400,30800,31600,33000,35100,36700,38400,39500,39800,39600,39800,40700,42000,42400,41800,41600,42800,42900,42800,43400,44500,45400,46200,47100,46300,43800,45700,45800,46500,47800,48100,48900,49000,50200,
Jordan,,,,,,,,,,,,,,,,,2040,2140,2520,2670,3070,3140,3230,3140,3200,3160,3240,3170,2930,2420,2340,2180,2510,2510,2530,2600,2570,2630,2680,2720,2870,2990,3070,3140,3350,3500,3660,3820,3860,3860,3660,3560,3450,3370,3320,3270,3250,3250,3250
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660,4120,3840,3910,4030,4020,4100,4360,5020,5570,6000,6450,6780,7140,7570,7410,7770,7880,8010,8430,9240,9540,10200,9700,9680,9680
Kenya,,,,,527,522,578,576,604,638,589,695,783,780,787,771,748,791,815,845,864,864,838,823,805,809,835,852,871,889,885,865,832,792,796,820,843,827,834,827,812,819,803,803,823,855,883,917,897,901,948,983,996,1020,1050,1080,1120,1150,1190
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2220,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41400,42600,43800,42100,40700,39500,40000,37700,37700
