country,Existence of national screening program for breast cancer,Existence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Hdi human development index,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men,last_edit,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,General Male Cancer Mortality (15+) per 100k,General Female Cancer Mortality (15+) per 100k
Afghanistan,No,No,,,,No,11.8,174.7,67.1,132.8,50.7,Asia,35.4,34.4,572,544,0.479,14.4,11.5,"('Coverage of national cervical cancer screening program (%)', '2000')",0.2,0.1,0,0,0,0,0,NA,NA,NA,170.6,142
Albania,Yes,Yes,HPV test,Organized population-based screening,10 to 50,No,NA,NA,NA,0,0,Europe,12,28.6,4870,4880,0.764,21,36,"('Out-of-pocket expenditure (OOP) per capita in US$', '2000')",5.36,1.58,0,0,0,0.32,0.32,NA,NA,NA,186.4,138.2
Algeria,Yes,No,PAP smear,Organized population-based screening,10 to 50,No,6.4,974.8,258.5,317.3,84.1,Africa,14.4,31.1,4790,4700,0.745,7.57,11.7,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.18,0.26,0.43,NA,NA,NA,100.7,97.3
Andorra,Yes,No,,,,Yes,10.3,5237.2,4040.8,2188,1688.1,,19.4,101,43900,NA,0.858,26.5,138,"('Gni pc constant 2010 u', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,Yes,No,Visual inspection,Opportunistic screening,Less than 10,No,2.8,185.9,114.5,63.4,39.1,Africa,19.8,22,3410,3320,0.533,30.3,26.8,"('Hdi human development index', '2015')",0.42,0.05,0,0,0,0.05,0.05,NA,NA,NA,112.5,90.9
Antigua and Barbuda,Yes,No,PAP smear,Opportunistic screening,,No,4.5,1070.8,673.9,374.6,235.7,,22.5,64.4,14200,12700,0.786,77.3,195,"('continent', '2000')",22.23,11.11,NA,NA,NA,NA,NA,NA,NA,NA,242.9,153.5
Argentina,Yes,Yes,HPV test,Organized population-based screening,,Yes,9.1,1916.5,1324.6,287.8,198.9,Americas,23.8,65.7,10400,10100,0.827,27,66.1,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,1.93,0.82,2.75,3,3,NA,198.5,136.7
Armenia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,10.4,1001.1,407.6,844.4,343.8,,22.6,60.7,4200,4320,0.743,16.4,33.8,"('continent', '2000')",3.02,2.35,0,1.34,0.34,1.01,1.34,NA,NA,NA,354.5,200.1
Australia,Yes,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,9.2,4816.2,5331.8,874.2,967.8,Oceania,17.6,94.8,56100,54600,0.939,23.8,174,"('Hdi human development index', '2015')",NA,NA,NA,NA,4.03,NA,4.03,9,8,NA,170.2,118.9
Austria,Yes,Yes,PAP smear,Opportunistic screening,,Yes,10.4,5617.4,4939.9,1078.7,948.6,Europe,18.8,79.4,49100,48700,0.893,20.5,124,"('Coverage of national cervical cancer screening program (%)', '2000')",28.49,16.6,2.71,NA,5.41,NA,5.41,2,2,NA,184.2,123.6
Azerbaijan,No,No,,,,No,6.7,1163.9,275.8,976,231.3,,11.8,37.5,5740,5330,0.759,10.2,22.6,"('continent', '2000')",1.06,0.53,0.21,NA,1.59,NA,1.59,NA,NA,NA,192.5,108.4
Bahamas,Yes,No,PAP smear,Opportunistic screening,,Yes,5.8,1756.1,1771.5,544.1,548.9,,37.3,111,27100,26300,0.792,75.2,182,"('continent', '2000')",13.25,2.65,0,0,2.65,0,2.65,NA,NA,NA,216.4,136.7
Bahrain,Yes,Yes,PAP smear,Opportunistic screening,Less than 10,No,4.7,2265.3,1127.2,692.1,344.4,Asia,21.7,58,22100,21000,0.824,14.3,27.1,"('Hdi human development index', '2015')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.9,89.9
Bangladesh,No,Yes,Visual inspection,Opportunistic screening,Less than 10,No,2.3,94.3,36.3,69.7,26.8,Asia,8.4,14.7,1130,1180,0.579,5.15,7.21,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.04,0.08,0.12,1,1,NA,127.7,97.6
Barbados,No,No,,,,Yes,6.8,1343.2,1183.8,622,548.2,,31.1,97.2,16100,15700,0.795,74.9,201,"('continent', '2000')",7.03,0,0,3.51,0,3.51,3.51,NA,NA,NA,252,165.6
Belarus,No,Yes,Visual inspection,Organized population-based screening,more than 50 but less than 70,No,5.9,1129.1,342.5,310.7,94.2,,14.1,42.2,6540,6280,0.796,19.2,59.3,"('continent', '2000')",6.2,2.57,0,2.57,0.64,2.46,3.1,NA,NA,NA,245.3,110.4
Belgium,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,10.3,5119.1,4507.4,902.9,795,Europe,24.1,115,46700,47200,0.896,22.6,117,"('Hdi human development index', '2015')",NA,NA,NA,NA,8.19,0.09,8.28,7,5,1,204.3,129.5
Belize,Yes,Yes,Visual inspection,Opportunistic screening,Less than 10,Yes,5.6,481,280.5,116.2,67.8,,14.9,26.1,4200,3820,0.706,53.9,71.3,"('continent', '2000')",12.05,3.01,0,0,0,0,0,NA,NA,NA,227.2,145.1
Benin,No,No,Visual inspection,Organized population-based screening,10 to 50,Yes,3.7,84.7,30.8,38.1,13.8,Africa,16.4,15.7,863,857,0.485,32.9,24.4,"('Hdi human development index', '2015')",0.29,0,0,0,0,0,0,NA,NA,NA,94.2,94.5
Bhutan,Yes,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,3.2,290.4,96.8,38.6,12.9,,10.3,16.6,3070,2810,0.607,6.89,8.1,"('continent', '2000')",1.33,1.33,0,0,0,0,0,NA,NA,NA,118.1,105.9
Bolivia (Plurinational State of),Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.4,491.7,220.3,123.3,55.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,0.09,0.47,0.56,NA,NA,NA,107.3,130.9
Bosnia and Herzegovina,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.9,1172.4,460.5,341.6,134.2,Europe,18.8,42.5,5770,5750,0.75,19.4,33.9,"('Hdi human development index', '2015')",16.45,5.48,0.26,1.57,2.35,0.52,2.87,NA,NA,NA,207.5,115.3
Botswana,No data received,No,PAP smear,Organized population-based screening,,Yes,6.1,1044.3,465.9,31.3,13.9,Africa,17.9,37,7860,7580,0.698,39.4,64.1,"('Coverage of national cervical cancer screening program (%)', '2000')",0.99,0.49,0,0,0,0,0,NA,NA,NA,138.5,87.7
Brazil,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.5,1472.2,928.8,404.2,255,Americas,15.5,42.6,11000,10800,0.754,30.2,64.9,"('Hdi human development index', '2015')",NA,NA,NA,NA,1.43,0.31,1.74,8,5,1,178.1,121.2
Brunei Darussalam,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,2.4,1875,671.4,97.1,34.8,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",7.18,2.39,NA,NA,NA,NA,NA,NA,NA,NA,220.1,167.7
Bulgaria,No,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,8.1,1689.7,663.7,786.6,309,Europe,18.7,67.4,8330,8440,0.794,17.7,40.3,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.69,1.38,2.08,NA,NA,NA,244.9,135
Burkina Faso,No,Yes,Visual inspection,Organized population-based screening,10 to 50,No,6.9,129.1,44.4,40.9,14.1,Africa,15.3,13.1,686,662,0.402,31.2,23,"('Hdi human development index', '2015')",0.65,0.06,0,0.06,0,0,0,NA,NA,NA,121.8,125.3
Burundi,No,No,Visual inspection,Opportunistic screening,,Yes,7.5,59.2,23.5,15.1,6,Africa,16.6,17.8,214,214,0.404,44.4,37.7,"('Coverage of national cervical cancer screening program (%)', '2000')",0.2,0,0,0,0,0,0,NA,NA,NA,189.1,195.9
Cabo Verde,No data received,No,PAP smear,Opportunistic screening,10 to 50,No,5.2,357.1,167.6,103.2,48.4,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",2,2,2,0,0,0,0,NA,NA,NA,115.8,105.8
Cambodia,Yes,Yes,Visual inspection,Organized population-based screening,10 to 50,Yes,5.9,238.2,82.1,143.9,49.6,Asia,20.5,25.9,1140,1060,0.563,17.8,16.5,"('Hdi human development index', '2015')",1.19,0.07,0,0,0,0.07,0.07,NA,NA,NA,211.3,145.1
Cameroon,No,No,,,,No,4.7,173.9,67.8,123.4,48.1,Africa,20,21.4,1480,1450,0.518,35.7,27.3,"('Coverage of national cervical cancer screening program (%)', '2000')",0.63,0.04,0,0.04,0,0.13,0.13,NA,NA,NA,122.9,116.7
Canada,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,10.6,4928.6,4754.9,700.8,676.1,Americas,19.8,93,51200,50700,0.92,22.1,107,"('Hdi human development index', '2015')",13.76,7.99,1.14,20.35,7.59,0.48,8.07,28,22,3,171,132.4
Central African Republic,No,No,PAP smear,Opportunistic screening,Less than 10,No,5.8,42,24.2,13.1,7.5,Africa,21.9,26.9,371,386,0.352,29.7,28.3,"('Hdi human development index', '2015')",0,0,0,0,0,0,0,NA,NA,NA,141.4,127.2
Chad,Yes,No,,Opportunistic screening,Less than 10,No,4.5,87.3,29.7,50.7,17.3,Africa,14,14.1,817,809,0.396,30,23.5,"('Most widely used screening method in national cervical cancer screening program', '2000')",0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,115.4
Chile,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,9,2228.6,1382,747.3,463.4,Americas,12.6,40.5,14700,14200,0.847,29.4,77.2,"('Hdi human development index', '2015')",12.6,4.37,0,NA,0.68,0.23,0.91,1,1,NA,194.3,136.5
China,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,5.2,841.1,440.8,303.2,158.9,Asia,8.15,32.5,7310,7300,0.738,6.11,15.7,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.73,0.37,1.1,3,2,NA,247.6,118.8
Colombia,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,7.2,1039.2,459.2,169.5,74.9,Americas,12.8,35.5,7610,7480,0.727,24,60.3,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.75,0.7,1.45,3,2,NA,180,147.4
Comoros,No response,,,,,No,7.4,123.2,58.8,91.9,43.9,Africa,19.1,20.9,1390,1390,0.498,46.8,42.9,"('Coverage of national cervical cancer screening program (%)', '2000')",1.36,0,0,0,0,0,0,NA,NA,NA,153.3,158.8
Congo,No,No,,Organized population-based screening,,No,2.9,164.8,50,79.8,24.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.8,83.1
Cook Islands,No data received,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,3.3,691.9,588.7,46,39.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,7.3,1262.2,869.1,268.3,184.7,Americas,14.8,42.4,9730,9220,0.776,26.6,67.5,"('Hdi human development index', '2015')",5.13,0.82,0.21,1.23,1.23,1.03,2.26,NA,NA,NA,164.7,121.3
CÌ«te d'Ivoire,No data received,Yes,Visual inspection,Opportunistic screening,10 to 50,No,4.5,175.7,69.7,69.1,27.5,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.8,1772.5,902.1,194.5,99,Europe,22.9,76.1,15400,15100,0.827,26.3,74.2,"('Hdi human development index', '2015')",14.92,7.23,0.47,6.06,2.33,0.7,3.03,NA,NA,NA,297.2,151.8
Cuba,Yes,Yes,PAP smear,Organized population-based screening,70 or more,No,11.7,2485.8,987.6,260.6,103.5,Americas,18,50.7,6670,6450,0.775,40.3,103,"('Hdi human development index', '2015')",4.79,0.8,NA,1.24,0.36,0.8,1.15,NA,NA,NA,208.3,138.2
Cyprus,Yes,Yes,PAP smear,Opportunistic screening,70 or more,Yes,6.7,2430.2,1731.7,1084.6,772.9,,21.7,99.3,30700,29700,0.856,23.2,111,"('continent', '2000')",25.41,14.02,0,8.76,2.63,0,2.63,2,1,NA,192.2,107.8
Czechia,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,7.2,2753.4,1475.9,407.8,218.6,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,Yes,Yes,Visual inspection,Organized population-based screening,70 or more,No,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2013')",NA,NA,NA,NA,0.04,0.12,0.16,NA,NA,NA,245.2,159.1
Democratic Republic of the Congo,No data received,Yes,Visual inspection,Opportunistic screening,Less than 10,No,4,37.3,19.4,15,7.8,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",0.07,0,0,0.01,0.01,0,0.01,NA,NA,NA,160.8,132.1
Denmark,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,10.1,5510,5800.2,757,796.9,Europe,25.2,98.5,62700,64100,0.925,31.4,113,"('Hdi human development index', '2015')",23.85,13.7,5.87,14.77,9.61,0,9.61,6,5,NA,212.4,162.4
Djibouti,No data received,Yes,PAP smear,Organized population-based screening,10 to 50,No,3.3,117.2,70.3,31.1,18.6,Africa,15.2,17,1340,NA,0.473,45.3,40.2,"('Gni pc constant 2010 u', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.6,128.9
Dominica,Yes,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,No,5.9,656.7,439.6,203.3,136.1,,27.3,67,6560,6830,0.726,127,251,"('continent', '2000')",13.89,0,0,0,0,0,0,NA,NA,NA,NA,NA
Dominican Republic,Yes,Yes,PAP smear,Opportunistic screening,70 or more,Yes,6.1,985.7,433.2,441,193.8,Americas,12.7,28.7,7270,6930,0.722,48.8,85.5,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.96,0.29,1.25,NA,NA,NA,170.9,127.5
Ecuador,Yes,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,8.3,958.9,518,377.8,204.1,Americas,9.4,21.8,5210,5090,0.739,24.3,47,"('Hdi human development index', '2015')",1.59,0.13,0.13,0.13,NA,0.13,0.13,NA,NA,NA,129.4,123.9
Egypt,Yes,No,,,,No,5.3,613.8,105.8,368.8,63.5,Africa,9.49,23.6,2820,2760,0.691,8.07,12.9,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,0.52,0.27,0.79,1,NA,NA,189,130.2
El Salvador,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,7.2,582.7,282.5,170.1,82.5,Americas,10.9,25.2,3440,3250,0.68,19.4,36.8,"('Hdi human development index', '2015')",4.73,1.1,0,0.95,0.32,0.79,1.1,NA,NA,NA,139.9,144.5
Equatorial Guinea,No data received,No,PAP smear,,,No,3.1,758.9,301.2,582.8,231.3,Africa,18.9,36.7,11300,9100,0.592,30.7,41.8,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.5,105.9
Eritrea,Yes,No,Visual inspection,Opportunistic screening,Less than 10,No,2.9,59.3,32.9,35,19.5,Africa,22.1,22.3,716,710,0.42,49,41.4,"('Gni pc constant 2010 u', '2011')",0.32,0.16,0,0,0,0,0,NA,NA,NA,109.3,157.5
Estonia,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,6.4,2153.3,1300.5,509.6,307.8,,16.1,56.1,19100,18500,0.865,29,116,"('continent', '2000')",15.54,8.55,0.78,2.33,2.33,NA,2.33,1,1,NA,285.6,137.8
Eswatini,Yes,No,Visual inspection,Organized population-based screening,10 to 50,No,6.9,600.1,224.7,63,23.6,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,No,Yes,Visual inspection,Opportunistic screening,Less than 10,Yes,3.5,66.7,25.3,22.9,8.7,Africa,16.7,15.6,548,340,0.448,45.1,37.4,"('Gni pc constant 2010 u', '2010')",0.36,0.07,0,0.01,0,0.02,0.02,NA,NA,NA,98,150.7
Fiji,No,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,3.5,322.8,188.4,50.3,29.4,,35.8,90.1,4660,3540,0.736,20.9,46.3,"('continent', '2000')",3.4,1.13,0,0,0,0,0,NA,NA,NA,109.7,113.2
Finland,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.2,4255.2,4205.7,860.7,850.7,Europe,16.3,91,48000,48000,0.895,22.4,138,"('Hdi human development index', '2015')",20.09,15.85,1.47,8.29,7.37,0,7.37,3,3,NA,162.1,111.5
France,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,11.3,5011.2,4379.7,470.3,411,Europe,20.9,91.9,43000,44000,0.897,22.9,105,"('Hdi human development index', '2015')",NA,10.13,NA,NA,7.4,0.11,7.51,7,2,NA,219.3,126.1
Gabon,No data received,No,PAP smear,Organized population-based screening,,No,2.8,499.6,204.5,125.7,51.4,Africa,25.1,36.1,9200,8920,0.697,33.1,37.3,"('Coverage of national cervical cancer screening program (%)', '2000')",3.59,1.2,0,0,0,0.6,0.6,NA,NA,NA,88.6,75.1
Gambia,Yes,No,PAP smear,Opportunistic screening,,Yes,3.3,55.8,23.3,12.3,5.1,Africa,11.5,11.6,760,744,0.452,11.6,9.19,"('Coverage of national cervical cancer screening program (%)', '2000')",1.08,0.54,0,0,0,0,0,NA,NA,NA,108.9,89
Georgia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,7.6,773.3,293.1,423.5,160.5,,18.6,49.2,4510,4270,0.769,12.8,26.1,"('continent', '2000')",8.75,0,0,0.69,0.69,0.69,1.38,NA,NA,NA,199.9,120.4
Germany,Yes,Yes,PAP smear,Opportunistic screening,70 or more,Yes,11.2,5922.6,5033.5,750.6,637.9,Europe,21,97,46900,48100,0.926,21.4,128,"('Hdi human development index', '2015')",NA,NA,NA,NA,6.21,0.23,6.44,33,22,2,198.9,131
Ghana,Yes,No,Visual inspection,Opportunistic screening,Less than 10,No,3.3,146.9,66.7,59.2,26.9,Africa,14.1,16.4,1740,1690,0.579,29.5,24.9,"('Hdi human development index', '2015')",0.15,0.08,NA,0.08,NA,0.08,0.08,NA,NA,NA,126.4,96.1
Greece,Yes,Yes,PAP smear,Opportunistic screening,,Yes,8,2295.3,1516.6,797.6,527,Europe,19.6,77.3,23100,23100,0.866,18.4,73.2,"('Coverage of national cervical cancer screening program (%)', '2000')",33.16,22.02,0.45,14.38,3.5,0.81,4.31,2,2,NA,221.3,115.8
Grenada,Yes,No,PAP smear,Organized population-based screening,70 or more,Yes,4.8,721.1,497.2,377.9,260.6,,30.3,67.4,8780,6880,0.754,96.8,176,"('continent', '2000')",18.89,9.44,0,0,0,0,0,NA,NA,NA,261.9,169.1
Guatemala,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,5.8,474.8,259.9,257.1,140.7,Americas,8.93,16.4,3120,3060,0.64,23.9,34.3,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.45,0.19,0.65,NA,NA,NA,104.6,104.9
Guinea,Yes,Yes,Visual inspection,Opportunistic screening,Less than 10,No,4.1,89.2,33.7,50.5,19.1,Africa,15.4,15,869,865,0.414,21.5,16.2,"('Hdi human development index', '2015')",0,0,0,0,0,0,0,NA,NA,NA,143.8,106.6
Guinea-Bissau,No data received,No,,,,No,7.2,123.3,52.4,88.8,37.7,Africa,22.2,20.7,614,616,0.424,35,25.5,"('Coverage of national cervical cancer screening program (%)', '2000')",0,0,0,0,0,0,0,NA,NA,NA,137.4,116.4
Guyana,No,Yes,Visual inspection,Organized population-based screening,10 to 50,Yes,4.9,405.1,230.5,131.5,74.9,,20.3,39.6,3850,3760,0.638,61.2,92.9,"('continent', '2000')",3.75,1.25,NA,NA,1.25,NA,1.25,NA,NA,NA,127.1,137.5
Haiti,No,Yes,HPV test,Opportunistic screening,,No,8,146.1,62.4,58.8,25.1,Americas,31.5,38.9,729,734,0.493,64.1,63.9,"('Coverage of national cervical cancer screening program (%)', '2000')",0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.2,124.8
Honduras,Yes,No,PAP smear,Opportunistic screening,10 to 50,Yes,7.9,394.8,195.9,192.3,95.4,Americas,10.9,16.6,2180,2020,0.625,21.9,33,"('Hdi human development index', '2015')",2.1,1.11,0,0.12,0.25,0.49,0.74,NA,NA,NA,132.1,126.3
Hungary,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.9,1979.4,981.4,532.3,263.9,Europe,22.4,69.9,15800,15200,0.836,21.7,57.1,"('Hdi human development index', '2015')",6.63,1.41,0.6,10.25,1.1,0.7,1.81,2,2,NA,322.9,178.9
Iceland,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,8.3,4721.4,6086.3,778.1,1003,Europe,18.8,119,51300,35000,0.921,27.4,147,"('Gni pc constant 2010 u', '2010')",39.45,21.24,0,12.14,6.07,0,6.07,NA,NA,NA,167.5,149.1
India,Yes,Yes,Visual inspection,Organized population-based screening,70 or more,No,3.5,253.3,69.3,158.1,43.2,Asia,12.1,21.6,1990,1970,0.624,6.7,9.01,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.15,0.26,0.41,22,9,2,107.2,95.3
Indonesia,Yes,Yes,Visual inspection,Organized population-based screening,Less than 10,Yes,3,367.9,115,127.3,39.8,Asia,14.6,34.6,4120,3990,0.689,14,24.3,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.08,0.06,0.15,NA,NA,NA,181,126.4
Iran (Islamic Republic of),Yes,Yes,HPV test,Organized population-based screening,Less than 10,No,8.7,1748.4,475.5,730.1,198.5,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,0.54,0.31,0.85,NA,NA,NA,153.2,111.9
Iraq,Yes,No,Visual inspection,Opportunistic screening,,No,4.2,494.8,210.3,378.3,122.1,Asia,26.3,35.9,5640,4710,0.649,9.07,10.2,"('Coverage of national cervical cancer screening program (%)', '2000')",2.22,1.63,0,0.15,0.12,0.06,0.18,NA,NA,NA,180.3,138.6
Ireland,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,7.2,5544.7,4976.9,680.9,611.2,Europe,22.1,101,71800,56800,0.923,25.5,122,"('Hdi human development index', '2015')",4.54,1.95,0.43,3.03,3.67,0.22,3.89,NA,NA,NA,187.3,149
Israel,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,7.4,3014.6,3144.6,670.8,699.7,Asia,23,75.3,34200,33900,0.899,13.7,47.8,"('Hdi human development index', '2015')",7.5,1.29,0.78,10.35,3.23,0.13,3.36,5,3,NA,174.3,127.9
Italy,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,8.8,3619.7,2840.1,850.1,667,Europe,19.5,100,35100,35300,0.887,16.7,108,"('Hdi human development index', '2015')",NA,NA,NA,NA,6.16,0.25,6.41,8,5,1,191.7,120.5
Jamaica,Yes,No,PAP smear,Organized population-based screening,10 to 50,Yes,6,542.9,307.2,93.5,52.9,Americas,28.1,63.9,4790,4640,0.73,62,113,"('Hdi human development index', '2015')",1.44,1.44,0,NA,NA,1.08,1.08,NA,NA,NA,193.5,123.3
Japan,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,10.9,4563.5,4169,586.3,535.6,Asia,9.35,59.1,48400,50200,0.903,8.76,53.8,"('Hdi human development index', '2015')",101.18,45.94,4.35,NA,6.68,0.5,7.17,1,NA,1,187.2,101.6
Jordan,Yes,No,,,,No,8.1,756.7,340.7,230.2,103.7,Asia,21.4,49.9,3260,3250,0.742,11.8,21,"('Coverage of national cervical cancer screening program (%)', '2000')",5.5,2.06,0.27,0.96,0.55,0.27,0.82,NA,NA,NA,137.5,95
Kazakhstan,Yes,Yes,PAP smear,Organized population-based screening,70 or more,No,3.1,820.4,279.6,271.9,92.7,,14.7,40.3,10900,9680,0.794,10.2,22.4,"('continent', '2000')",1.46,1.09,0.06,0.06,0.43,0.91,1.34,NA,NA,NA,277.9,162.3
