country,Existence of national screening program for breast cancer,Existence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Hdi human development index,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men,last_edit,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,General Male Cancer Mortality (15+) per 100k,General Female Cancer Mortality (15+) per 100k
Kenya,No,Yes,HPV test,Opportunistic screening,10 to 50,Yes,4.8,158.2,76.6,38,18.4,Africa,8.6,14.6,1160,1150,0.555,13.4,16.9,"('Hdi human development index', '2015')",0.25,0.16,0,0.05,0,0.02,0.02,NA,NA,NA,197.1,170
Kiribati,No response,Yes,PAP smear,Opportunistic screening,10 to 50,No,10.8,234.9,171.4,0.3,0.2,,25.1,22.1,1750,2220,0.588,14.3,11.3,"('continent', '2000')",0,0,0,0,0,0,0,NA,NA,NA,156.8,135.8
Kuwait,Yes,No,,,,No,5.3,3796.7,1529.1,479,192.9,Asia,20.6,63,33400,37700,0.8,8.39,25.7,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,0.59,0.59,1.19,NA,NA,NA,159.8,153.9
Kyrgyzstan,Yes,No,PAP smear,Opportunistic screening,more than 50 but less than 70,No,6.2,241.2,78.8,136,44.4,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",0.9,0.9,NA,0.72,0.18,0.36,0.54,NA,NA,NA,158.6,105.6
Lao People's Democratic Republic,No,Yes,PAP smear,Opportunistic screening,,Yes,2.5,177.9,62.1,82.2,28.7,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",0.74,0,0,0,0,0,0,NA,NA,NA,243.3,141.3
Latvia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6,1682.3,930.4,706.4,390.6,,17.7,52.5,15400,15400,0.83,29.6,82.6,"('continent', '2000')",NA,NA,0,NA,4.39,0.98,5.37,1,NA,NA,292.2,142.8
Lebanon,Yes,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,No,8.2,1185.3,719.4,393.8,239,Asia,24.4,94.5,6270,6270,0.763,24.4,73.5,"('Hdi human development index', '2015')",25.09,8.3,1.24,0.21,1.24,0.62,1.87,NA,NA,NA,150,126.7
Lesotho,Yes,No,Visual inspection,Opportunistic screening,10 to 50,No,8.8,265.5,104.6,44.2,17.4,Africa,21.9,34.7,1410,1580,0.497,38.4,47.7,"('Hdi human development index', '2015')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,99.2
Liberia,No data received,No,,,,Yes,8.2,104.7,56.6,47.6,25.8,Africa,19.1,19.3,548,497,0.427,31.6,24.3,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.4,113.6
Libya,No,No,,,,No,6.1,627.3,312.6,230,114.6,Africa,13.3,41.5,7090,12100,0.716,16.6,36.1,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.5,2132.6,1078.2,688.3,348,,17.4,55.6,16900,16200,0.848,28.3,164,"('continent', '2000')",20.22,8.95,0.33,2.98,3.65,0,3.65,NA,NA,NA,282.9,134.2
Luxembourg,No data received,No,,,,Yes,5.5,5956.5,5782.6,636.7,618.1,,21.7,119,109000,69600,0.898,18.9,110,"('continent', '2000')",18.85,13.2,1.89,16.97,3.77,0,3.77,NA,NA,NA,188.9,125.4
Madagascar,No,Yes,Visual inspection,Opportunistic screening,Less than 10,No,5.5,85.5,24.7,21.1,6.1,Africa,15.2,18.5,481,468,0.512,38.8,39.6,"('Hdi human development index', '2015')",0.13,0,0,0,0,0.04,0.04,NA,NA,NA,206.8,144.5
Malawi,Yes,Yes,Visual inspection,Organized population-based screening,10 to 50,Yes,9.6,114.8,32.3,12.2,3.4,Africa,14,15.6,513,510,0.476,27.1,22.3,"('Hdi human development index', '2015')",0.31,0.06,0,0,0,0,0,NA,NA,NA,238.7,179.1
Malaysia,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,3.9,1139,384.1,432.2,145.7,Asia,17.3,52.2,11700,11400,0.789,9.32,22.9,"('Hdi human development index', '2015')",6.43,2.89,0.37,0.71,1.41,NA,1.41,NA,NA,NA,139.2,119.8
Maldives,No,Yes,PAP smear,Organized population-based screening,10 to 50,No,9,1506.9,1006.9,311.1,207.9,,10.5,23.2,7810,6230,0.701,6.78,12.3,"('continent', '2000')",5.8,2.9,0,0,0,0,0,NA,NA,NA,133,96.2
Mali,Yes,No,HPV test,Organized population-based screening,Less than 10,No,3.8,84.2,31.4,29.6,11,Africa,17.4,17.9,764,729,0.442,15.4,11.9,"('Hdi human development index', '2015')",0.2,0,0,0.07,0.07,0,0.07,NA,NA,NA,101.2,144.5
Malta,Yes,Yes,PAP smear,Organized population-based screening,,Yes,9.3,3943.1,2585.6,1370.4,898.6,,20.5,83,27700,25400,0.856,14.1,87.4,"('continent', '2000')",9.32,9.32,2.33,6.99,2.33,2.33,4.66,NA,NA,NA,181.6,120.8
Marshall Islands,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,16.4,709.7,642.2,88.1,79.7,,20.2,39.5,2980,3940,NA,19,26.4,"('Hdi human development index', '2000')",19,0,0,0,0,0,0,NA,NA,NA,NA,NA
Mauritania,No,No,PAP smear,Opportunistic screening,Less than 10,No,4.4,170.1,48.8,84.3,24.2,Africa,19.3,21.1,1320,1300,0.513,31.2,26.6,"('Hdi human development index', '2015')",1.54,0.77,NA,NA,0.26,NA,0.26,NA,NA,NA,99.5,95.4
Mauritius,No data received,No,PAP smear,Organized population-based screening,10 to 50,Yes,5.7,1278,599.7,624.5,293,Africa,18.5,53.3,10200,11000,0.781,17.1,38.6,"('Hdi human development index', '2015')",6.43,4.82,0,2.41,0.8,1.61,2.41,NA,NA,NA,110.8,99.2
Mexico,Yes,Yes,PAP smear,Opportunistic screening,,Yes,5.5,1035.6,494.7,427.5,204.2,Americas,12.3,40.5,10300,10000,0.762,18.8,60.3,"('Coverage of national cervical cancer screening program (%)', '2000')",3.65,1.41,0.11,0.76,0.17,0.37,0.54,3,3,NA,101.6,92.3
Micronesia (Federated States of),Yes,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,12.4,493.2,424.8,11.9,10.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",0,0,0,0,0,0,0,NA,NA,NA,174.2,139.1
Monaco,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,1.8,2991.1,2932.4,206,202,,NA,NA,186000,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",132.17,132.17,26.43,26.43,26.43,0,26.43,NA,NA,NA,NA,NA
Mongolia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,4,518.1,148.8,166.6,47.8,Asia,7.81,16.4,4000,3400,0.735,5.82,9.33,"('Hdi human development index', '2015')",8.1,1.41,NA,0.7,0.35,0.35,0.7,NA,NA,NA,370.8,216.8
Montenegro,Yes,Yes,HPV test,Organized population-based screening,10 to 50,No,NA,NA,NA,NA,NA,Europe,21.1,63,7850,8040,0.807,21.4,48.5,"('Out-of-pocket expenditure (OOP) per capita in US$', '2013')",16.09,3.22,0,1.61,3.22,0,3.22,NA,NA,NA,255.1,152.8
Morocco,Yes,Yes,Visual inspection,Organized population-based screening,Less than 10,No,5.2,438.1,161,236.3,86.8,Africa,18.9,44.6,3310,3240,0.647,9.14,14.1,"('Hdi human development index', '2015')",1.21,0.36,0,NA,0.33,0.06,0.39,1,NA,1,135.2,91.1
Mozambique,Yes,Yes,Visual inspection,Opportunistic screening,more than 50 but less than 70,No,4.9,61.8,21.1,4.6,1.6,Africa,11.7,11.1,589,570,0.418,15,11,"('Hdi human development index', '2015')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.5,176.6
Myanmar,No,Yes,Visual inspection,Opportunistic screening,Less than 10,No,4.7,287.6,58,219.3,44.2,Asia,19.7,16.7,1490,1450,0.556,15.7,19.8,"('Hdi human development index', '2015')",0.08,0.08,NA,0.06,NA,0.06,0.06,NA,NA,NA,212,138.6
Namibia,No data received,No,,,,No,8.6,895.4,447.3,69.2,34.6,Africa,16,26.5,6190,6000,0.64,24.3,31.5,"('Coverage of national cervical cancer screening program (%)', '2000')",4.78,0.87,0,0.87,0,0.43,0.43,NA,NA,NA,135.8,78.9
Nauru,Yes,No,PAP smear,Opportunistic screening,,No,11,1309.6,1106.8,12.1,10.2,,NA,NA,10200,5730,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,No,Yes,Visual inspection,Organized population-based screening,10 to 50,No,5.6,150.1,47.9,86.7,27.7,Asia,12.3,14.4,779,789,0.558,6.58,6.66,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.11,0.11,0.22,NA,NA,NA,107.6,105
Netherlands,Yes,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,10.1,5513.1,4911.4,611.2,544.5,Europe,23.4,117,53900,54300,0.924,25.6,137,"('Hdi human development index', '2015')",12.23,12.11,2.39,10.68,7.22,0,7.22,10,8,1,216.8,157.3
New Zealand,Yes,Yes,HPV test,Organized population-based screening,70 or more,Yes,9.2,3767.5,3937.2,511.5,534.6,Oceania,22,98.6,37700,36200,0.915,22.9,151,"('Hdi human development index', '2015')",NA,NA,NA,NA,NA,0,6.21,2,1,1,173.8,135.6
Nicaragua,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.6,506.2,192.1,165,62.6,Americas,8.73,17.4,1960,1900,0.645,18.5,29.7,"('Hdi human development index', '2015')",0.49,0.16,0,0.16,0.16,0.16,0.33,NA,NA,NA,133.1,109.5
Niger,No,No,,,,No,7.7,78.9,29.3,37.7,14,Africa,12.2,11.7,394,385,0.353,29.7,22.3,"('Coverage of national cervical cancer screening program (%)', '2000')",0.17,0,0,0,0,0,0,NA,NA,NA,78.7,77.5
Nigeria,Yes,No,PAP smear,Organized population-based screening,Less than 10,No,3.8,221.1,73.9,170.7,57.1,Africa,25.2,38.1,2410,2350,0.527,50.8,58.6,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.05,0.03,0.07,NA,NA,NA,146.3,135.8
Niue,No,Yes,PAP smear,Opportunistic screening,10 to 50,No,8.6,1106.5,1258.9,9.9,11.3,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,Yes,Yes,HPV test,Organized population-based screening,70 or more,Yes,10.4,6518.9,7936.4,924.2,1125.2,Europe,16.9,83.8,91500,95300,0.949,30.9,158,"('Hdi human development index', '2015')",NA,NA,0,NA,7.93,0.2,8.13,2,2,NA,178.6,131.6
Oman,Yes,No,,,,No,3.8,1590.8,587.6,106.5,39.3,Asia,10.5,27.9,16100,16000,0.796,8.32,16.5,"('Coverage of national cervical cancer screening program (%)', '2000')",6.88,4.4,0,1.1,0.55,0,0.55,NA,NA,NA,110.2,73.6
Pakistan,No,No,,,,No,2.9,160.6,44.6,96.7,26.9,Asia,29,42.5,1160,1220,0.55,8.14,12.9,"('Coverage of national cervical cancer screening program (%)', '2000')",0.33,0.22,0.03,0.04,0.04,0.04,0.08,NA,NA,NA,113.2,123.9
Palau,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,12,1777.8,1596.4,274.8,246.8,,NA,NA,12100,12800,0.788,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,7.3,1794.8,1112.3,597.1,370.1,Americas,13.4,46.8,11500,10400,0.788,27.8,107,"('Hdi human development index', '2015')",9.58,2.85,0,2.07,1.55,0,1.55,NA,NA,NA,134.2,105.4
Papua New Guinea,Yes,No,PAP smear,Opportunistic screening,10 to 50,No,2.5,103.9,61.5,9.3,5.5,,22.9,29.1,2490,1800,0.516,18.2,20.6,"('continent', '2000')",0.41,0,0,0,0,0.14,0.14,NA,NA,NA,199.9,186.5
Paraguay,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.7,866.6,381.1,382.8,168.4,Americas,21.1,46.9,5270,5110,0.693,29.2,50.6,"('Hdi human development index', '2015')",1.03,0.29,0,0,0.15,0.44,0.59,NA,NA,NA,167,128.7
Peru,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,5,681.2,332.6,192,93.7,Americas,9.69,22.2,6310,6030,0.74,23.5,46.6,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.82,0.3,1.12,NA,NA,NA,141.5,130.8
Philippines,Yes,Yes,Visual inspection,Opportunistic screening,Less than 10,Yes,4.4,371.7,132.9,197.2,70.5,Asia,22.3,46,2880,3470,0.682,22,32.2,"('Hdi human development index', '2015')",1.09,0.3,NA,NA,0.18,NA,0.18,NA,NA,NA,136,116.4
Poland,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,No,6.5,1958.2,906.8,451.4,209,Europe,17.3,60.4,15800,15200,0.855,23.2,54.8,"('Hdi human development index', '2015')",10.6,3.27,0.34,2.8,2.59,0.13,2.72,8,1,NA,278.8,156.4
Portugal,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9,2917.4,1908,803.2,525.3,Europe,17.1,62.1,23400,22800,0.843,24.6,90.5,"('Hdi human development index', '2015')",27.43,9.9,0.66,5.09,3.49,0.57,4.05,3,3,NA,227.3,108.8
Qatar,Yes,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,2.6,3354.4,1649.2,298.6,146.8,,19.9,58.4,63600,62500,0.856,9.75,24,"('continent', '2000')",8.3,9.22,0.46,1.84,0.92,0,0.92,NA,NA,NA,116.2,105.7
Republic of Korea,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7.6,2980.2,2283.1,1003.4,768.7,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",35.38,19.99,3.15,8.08,2.8,0.2,3,NA,NA,NA,204,91.2
Republic of Moldova,Yes,Yes,PAP smear,Opportunistic screening,70 or more,Yes,7,476.7,191.2,208,83.4,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",5.45,1.43,0,1.15,0.29,0.29,0.57,NA,NA,NA,244.7,126.3
Republic of North Macedonia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.1,926.9,328.4,295.7,104.8,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,No,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,5.2,1367.8,555.1,280.2,113.7,Europe,17.7,50.3,11000,10700,0.802,16,59.5,"('Hdi human development index', '2015')",5.44,1.98,0.05,1.15,0.51,0.65,1.15,NA,NA,NA,269.1,140.2
Russian Federation,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,No,5.3,1404.2,585.9,568.6,237.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,0.77,1.51,2.28,NA,NA,NA,298.4,153.1
Rwanda,Yes,No,Visual inspection,Opportunistic screening,Less than 10,Yes,6.6,134.4,49.2,8.4,3.1,Africa,16,17.7,780,761,0.498,46.4,39.2,"('Hdi human development index', '2015')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.5,171.4
Saint Kitts and Nevis,No,No,PAP smear,Opportunistic screening,10 to 50,No,5,1442.1,902.7,688.9,431.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",18.45,0,0,0,0,0,0,NA,NA,NA,NA,NA
Saint Lucia,Yes,No,PAP smear,Opportunistic screening,Less than 10,Yes,4.5,662.3,460.1,296.4,205.9,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",10.97,10.97,0,0,0,0,0,NA,NA,NA,188.2,140.4
Saint Vincent and the Grenadines,Yes,No,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,4.5,528.1,320.6,164.7,100,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",0,0,0,0,0,0,0,NA,NA,NA,256.5,160.7
Samoa,No data received,No,,,,No,5.5,364,233.1,43.2,27.6,,23.4,30.3,3850,3460,0.704,20.8,21.5,"('continent', '2000')",5.25,0,0,0,0,0,0,NA,NA,NA,148.1,120.1
San Marino,Yes,Yes,HPV test,Organized population-based screening,70 or more,Yes,7.4,4369.7,3361.6,757.4,582.7,,NA,NA,53300,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",31.8,63.6,0,0,0,0,0,NA,NA,NA,NA,NA
Sao Tome and Principe,No,No,HPV test,Organized population-based screening,10 to 50,Yes,6.2,209.2,119.7,28.8,16.5,Africa,13.7,16.7,1290,1100,0.574,17.8,16.9,"('Gni pc constant 2010 u', '2010')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.1,141.3
Saudi Arabia,Yes,No,,,,No,5.2,2826.3,1093.4,476.5,184.3,Asia,12,36.4,20700,21000,0.847,8.99,21,"('Coverage of national cervical cancer screening program (%)', '2000')",3.82,0.97,0,0.38,0.1,0,0.1,NA,NA,NA,82.7,73.7
Senegal,No,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,4.1,143.1,55,75,28.8,Africa,18.3,16.9,1490,1450,0.494,37.3,24.1,"('Hdi human development index', '2015')",0.35,0.14,0,0.07,0,0.07,0.07,NA,NA,NA,104,98.8
Serbia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.4,1382.2,528.5,577.1,220.7,Europe,25.2,69.2,6560,6130,0.776,21.3,47.3,"('Hdi human development index', '2015')",13.67,6.2,0.21,0.32,1.37,0.11,1.47,NA,NA,NA,261.6,155.2
Seychelles,Yes,No,PAP smear,Organized population-based screening,70 or more,Yes,5,1485.5,791.7,365.4,194.7,,22.6,61.7,14000,10200,0.782,60.4,127,"('continent', '2000')",10.77,10.77,NA,NA,NA,NA,NA,NA,NA,NA,249.5,125.2
Sierra Leone,No,No,,,,No,13.4,205.4,66.4,103.5,33.5,Africa,19.6,21.3,467,452,0.42,29.8,24.9,"('Coverage of national cervical cancer screening program (%)', '2000')",0.33,NA,NA,0.16,NA,NA,NA,NA,NA,NA,113.8,101.5
Singapore,Yes,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,4.4,4270,2618.7,1371.7,841.3,Asia,14.5,75.2,56700,52700,0.925,8.32,40.2,"('Hdi human development index', '2015')",8.87,7.76,NA,NA,3.33,0.18,3.51,2,1,1,164.5,110.7
Slovakia,Yes,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.7,2184.2,1186.1,408.7,222,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,2.94,1.83,4.77,2,2,NA,305.9,155.8
Slovenia,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,8.2,2960.6,1920.3,365,236.7,Europe,18.5,65.7,25700,25300,0.89,29.6,72.7,"('Hdi human development index', '2015')",13.51,8.69,0.97,8.2,5.31,0.48,5.79,1,1,NA,253.4,145
Solomon Islands,No,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,4.7,115.2,101.2,6.2,5.5,,31.8,34.6,1470,941,0.515,23.7,21.2,"('continent', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.8,158.8
Somalia,No,Yes,PAP smear,,,No,NA,NA,NA,NA,NA,Africa,24.2,23.9,NA,NA,NA,43.9,38.2,"('Hdi human development index', '2013')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3,143.8
South Africa,Yes,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,8.1,1097.8,499.2,85.3,38.8,Africa,17.7,46.4,7480,7250,0.666,36.5,77.2,"('Hdi human development index', '2015')",0.97,0.23,0.06,0.53,0.4,0.17,0.57,1,1,NA,223,143.8
South Sudan,No data received,No,,,,No,9.8,175.8,22.9,33.7,4.4,,12.5,13.6,731,NA,0.418,36.8,33.8,"('Gni pc constant 2010 u', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.1,173.7
Spain,Yes,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,8.9,3468.7,2506.5,817.4,590.7,Europe,14.9,59.9,32300,32300,0.884,17.8,65,"('Hdi human development index', '2015')",13.85,8.14,NA,4.75,3.49,0.66,4.16,21,17,1,200.7,100.1
Sri Lanka,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.8,503.6,159.5,250.6,79.4,Asia,9.45,21.3,3850,3750,0.766,7.25,13.5,"('Hdi human development index', '2015')",1.69,0.42,0,NA,0.09,NA,0.56,NA,NA,NA,135.4,99.1
Sudan,No,No,,,,No,6.3,313.7,193.8,227.4,140.5,Africa,17.5,29.6,1950,1800,0.49,11.6,13,"('Coverage of national cervical cancer screening program (%)', '2000')",1.13,0.32,NA,0.13,0.08,0.11,0.18,NA,NA,NA,131,101.2
Suriname,No,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.2,946.4,339.3,249.7,89.5,,18.7,39.8,7970,8060,0.725,49.5,80.5,"('continent', '2000')",7.42,3.71,0,0,3.71,0,3.71,NA,NA,NA,205.1,145.6
Sweden,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,11,5699.6,5904.6,856.8,887.6,Europe,18.6,96.7,57400,58200,0.913,31.4,154,"('Hdi human development index', '2015')",NA,NA,NA,NA,6.48,0.42,6.9,2,2,NA,160.8,128.3
Switzerland,Yes,Yes,PAP smear,Opportunistic screening,70 or more,Yes,12.3,8217,9956.3,2378.6,2882,Europe,18.9,88.2,77700,77700,0.939,22.8,132,"('Hdi human development index', '2015')",NA,NA,NA,NA,NA,NA,NA,7,5,NA,170,112.7
Syrian Arab Republic,Yes,Yes,PAP smear,Organized population-based screening,,No,3.6,159.7,69.9,85.8,37.5,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,0.05,0.27,0.32,NA,NA,NA,201.4,150.6
Tajikistan,Yes,No,Visual inspection,Opportunistic screening,10 to 50,No,7.2,231.4,57.9,146.1,36.6,,7.81,13.5,1020,1090,0.627,6.6,8.47,"('continent', '2000')",1.1,0.37,NA,NA,0,0.12,0.12,NA,NA,NA,126.6,99.1
Thailand,Yes,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.7,670.9,247,74.8,27.5,Asia,11.8,31.1,6130,5850,0.74,8.4,17.7,"('Hdi human development index', '2015')",5.95,NA,0.07,0.45,0.63,0.34,0.97,NA,NA,NA,176.2,106.6
Timor-Leste,Yes,Yes,Visual inspection,Opportunistic screening,Less than 10,No,3.9,263.8,83.2,22,6.9,,13.8,20.4,2740,2780,0.606,14.6,16.3,"('continent', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.1,163.5
Togo,Yes,No,Visual inspection,Organized population-based screening,Less than 10,No,6.2,103.7,38,60.6,22.2,Africa,19.5,19,660,660,0.487,33.8,26.1,"('Hdi human development index', '2015')",0.73,0.15,NA,NA,NA,NA,NA,NA,NA,NA,129.3,136.1
Tonga,Yes,Yes,PAP smear,Opportunistic screening,Less than 10,No,5.3,335.3,222,35.6,23.6,,44.1,66.8,4090,3670,0.721,39.5,47,"('continent', '2000')",0,0,0,0,0,0,0,NA,NA,NA,257.3,163.8
Trinidad and Tobago,No,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7,2205.8,1124.1,877.4,447.1,Americas,22.6,60.1,15300,15900,0.78,72.6,144,"('Gni pc constant 2010 u', '2010')",2.98,2.98,0,2.24,1.49,1.49,2.98,NA,NA,NA,197.4,133.5
Tunisia,No response,Yes,PAP smear,Organized population-based screening,10 to 50,No,7.2,863.3,250.6,337.7,98,Africa,17.5,41.8,4340,4010,0.725,14.6,24.3,"('Gni pc constant 2010 u', '2013')",8.91,2,NA,1.18,0.64,1,1.64,NA,NA,NA,129.8,66.5
Turkey,Yes,Yes,HPV test,Organized population-based screening,70 or more,No,4.2,1180.6,444.7,205.2,77.3,Europe,10.3,32.5,14900,14700,0.767,14.9,33.7,"('Hdi human development index', '2015')",14.52,6.14,0.89,3.82,1.43,0.6,2.03,3,3,NA,254.4,112.7
Turkmenistan,Yes,Yes,Visual inspection,Opportunistic screening,more than 50 but less than 70,Yes,6.9,1249.6,456.5,909.2,332.1,,11.2,33.8,7320,4070,0.692,6.31,13.4,"('continent', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.2,116.5
Tuvalu,No,Yes,PAP smear,Opportunistic screening,10 to 50,No,17.1,694.3,622.2,3.6,3.2,,NA,NA,3590,4840,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,Yes,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.3,122.7,38.9,47.3,15,Africa,27.7,33,694,675,0.493,75.5,64.2,"('Hdi human development index', '2015')",0.45,0.08,0,0.05,0,0.05,0.05,NA,NA,NA,285.4,184.2
Ukraine,Yes,Yes,PAP smear,Opportunistic screening,Less than 10,No,7,584.6,177.4,305.8,92.8,,18,46.9,2990,2900,0.743,15.3,38.1,"('continent', '2000')",NA,NA,NA,NA,0.44,1.95,2.39,NA,NA,NA,247.2,126.2
United Arab Emirates,Yes,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,3.3,2468.5,1357,465.8,256,,18.3,56.5,40700,41000,0.84,10.7,24.5,"('continent', '2000')",NA,NA,NA,NA,0.53,0.11,0.64,2,1,NA,72.3,81.5
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.6,4338.4,3858.7,692.3,615.7,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,No data received,No,,,,Yes,3.6,104.3,33.9,25.1,8.2,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",0.12,0.04,0.02,0.08,NA,0.06,0.06,NA,NA,NA,155.8,136.6
United States of America,Yes,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,17.1,10246.1,10246.1,1126.3,1126.3,,NA,NA,NA,NA,NA,NA,NA,"('Prostate cancer new cases per 100000 men', '2000')",NA,NA,NA,NA,11.93,0.44,12.37,NA,NA,NA,178.3,133.9
